date,price,last_update
2026-06-18,1.929,2026-06-18T11:51:16+02:00
2026-06-19,1.919,2026-06-19T11:58:57+02:00
2026-06-20,1.919,2026-06-20T11:52:43+02:00
2026-06-21,1.939,2026-06-21T11:54:57+02:00
2026-06-22,1.939,2026-06-22T12:03:17+02:00
2026-06-23,1.929,2026-06-23T11:59:46+02:00
2026-06-24,1.919,2026-06-24T11:54:30+02:00
2026-06-25,1.919,2026-06-25T11:57:08+02:00
2026-06-26,1.929,2026-06-26T12:02:52+02:00
2026-06-27,1.939,2026-06-27T11:53:22+02:00
2026-06-28,1.939,2026-06-28T11:53:29+02:00
2026-06-29,1.939,2026-06-29T12:02:50+02:00
2026-06-30,2.119,2026-06-30T11:58:27+02:00
2026-07-01,2.339,2026-07-01T12:01:05+02:00
2026-07-02,2.309,2026-07-02T12:02:26+02:00
2026-07-03,2.299,2026-07-03T11:55:37+02:00
2026-07-04,2.289,2026-07-04T11:51:50+02:00
2026-07-05,2.289,2026-07-05T11:53:21+02:00
2026-07-06,2.299,2026-07-06T11:58:55+02:00
2026-07-07,2.309,2026-07-07T11:58:41+02:00
2026-07-08,2.309,2026-07-08T12:00:58+02:00
2026-07-09,2.339,2026-07-09T12:01:34+02:00
2026-07-10,2.339,2026-07-10T12:09:35+02:00
2026-07-11,2.349,2026-07-11T12:08:21+02:00
2026-07-12,2.349,2026-07-12T12:10:25+02:00
2026-07-13,2.349,2026-07-13T12:08:50+02:00
2026-07-14,2.349,2026-07-14T11:55:06+02:00
2026-07-15,2.409,2026-07-15T11:56:29+02:00
