date,price,last_update
2026-04-01,2.449,2026-04-01T12:10:38+02:00
2026-04-02,2.519,2026-04-02T12:06:54+02:00
2026-04-03,2.449,2026-04-03T12:00:00+02:00
2026-04-04,2.459,2026-04-04T12:09:58+02:00
2026-04-05,2.499,2026-04-05T12:10:51+02:00
2026-04-06,2.499,2026-04-06T12:00:00+02:00
2026-04-07,2.479,2026-04-07T12:00:00+02:00
2026-04-08,2.459,2026-04-08T12:00:00+02:00
2026-04-09,2.379,2026-04-09T10:14:00+02:00
2026-04-10,2.359,2026-04-10T07:43:25+02:00
2026-04-11,2.349,2026-04-10T15:13:44+02:00
2026-04-12,2.339,2026-04-11T16:14:12+02:00
2026-04-13,2.329,2026-04-13T09:13:58+02:00
2026-04-14,2.329,2026-04-13T12:46:30+02:00
2026-04-15,2.299,2026-04-15T07:43:20+02:00
2026-04-16,2.249,2026-04-16T09:46:34+02:00
2026-04-17,2.239,2026-04-17T09:12:53+02:00
2026-04-18,2.189,2026-04-18T10:13:08+02:00
2026-04-19,2.189,2026-04-19T09:14:14+02:00
2026-04-20,2.189,2026-04-19T12:10:57+02:00
2026-04-21,2.129,2026-04-21T10:13:28+02:00
2026-04-22,2.189,2026-04-22T12:07:35+02:00
2026-04-23,2.199,2026-04-23T12:07:41+02:00
