date,price,last_update
2026-04-01,2.249,2026-04-01T08:38:50+02:00
2026-04-02,2.209,2026-04-02T12:19:24+02:00
2026-04-03,2.249,2026-04-03T12:18:29+02:00
2026-04-04,2.249,2026-04-04T12:17:11+02:00
2026-04-05,2.249,2026-04-05T12:17:56+02:00
2026-04-06,2.249,2026-04-06T12:17:09+02:00
2026-04-07,2.269,2026-04-07T12:17:30+02:00
2026-04-08,2.249,2026-04-08T12:17:30+02:00
2026-04-09,2.139,2026-04-09T08:34:13+02:00
2026-04-10,2.119,2026-04-10T10:37:46+02:00
2026-04-11,2.089,2026-04-11T09:02:32+02:00
2026-04-12,2.089,2026-04-11T18:22:16+02:00
2026-04-13,2.089,2026-04-13T07:11:49+02:00
2026-04-14,2.079,2026-04-14T10:50:56+02:00
2026-04-15,2.089,2026-04-15T09:55:56+02:00
2026-04-16,2.069,2026-04-16T09:41:30+02:00
2026-04-17,2.069,2026-04-17T07:55:29+02:00
2026-04-18,2.079,2026-04-17T17:17:58+02:00
2026-04-19,2.079,2026-04-19T08:46:47+02:00
2026-04-20,2.079,2026-04-20T07:12:34+02:00
2026-04-21,2.069,2026-04-21T07:13:20+02:00
2026-04-22,2.059,2026-04-22T07:56:44+02:00
2026-04-23,2.059,2026-04-23T08:32:15+02:00
2026-04-24,2.079,2026-04-24T06:56:14+02:00
2026-04-25,2.079,2026-04-25T08:55:42+02:00
2026-04-26,2.079,2026-04-26T07:15:53+02:00
2026-04-27,2.079,2026-04-26T15:33:43+02:00
2026-04-28,2.079,2026-04-27T16:04:36+02:00
2026-04-29,2.099,2026-04-29T11:02:34+02:00
2026-04-30,2.079,2026-04-30T07:01:45+02:00
2026-05-01,1.909,2026-05-01T07:07:21+02:00
2026-05-02,1.919,2026-05-02T10:18:07+02:00
2026-05-03,1.979,2026-05-02T19:11:52+02:00
2026-05-04,2.009,2026-05-04T08:42:47+02:00
2026-05-05,2.039,2026-05-04T15:07:52+02:00
2026-05-06,2.059,2026-05-05T15:51:06+02:00
2026-05-07,2.009,2026-05-07T11:22:18+02:00
2026-05-08,1.979,2026-05-08T09:23:43+02:00
2026-05-09,1.969,2026-05-09T09:13:24+02:00
2026-05-10,1.969,2026-05-10T09:13:49+02:00
2026-05-11,1.969,2026-05-11T10:17:10+02:00
2026-05-12,1.989,2026-05-12T07:45:52+02:00
2026-05-13,2.189,2026-05-13T12:02:30+02:00
2026-05-14,1.999,2026-05-13T17:16:51+02:00
2026-05-15,1.999,2026-05-15T07:44:29+02:00
2026-05-16,1.989,2026-05-16T07:01:13+02:00
2026-05-17,1.989,2026-05-17T06:54:04+02:00
2026-05-18,1.989,2026-05-18T08:56:32+02:00
2026-05-19,1.989,2026-05-19T08:43:52+02:00
2026-05-20,1.999,2026-05-20T07:01:29+02:00
2026-05-21,1.969,2026-05-21T07:01:10+02:00
2026-05-22,1.959,2026-05-22T10:13:44+02:00
2026-05-23,1.949,2026-05-23T10:15:15+02:00
2026-05-24,1.969,2026-05-24T10:14:38+02:00
