date,price,last_update
2026-04-01,2.209,2026-04-01T12:04:33+02:00
2026-04-02,2.199,2026-04-02T12:03:51+02:00
2026-04-03,2.299,2026-04-03T12:03:51+02:00
2026-04-04,2.299,2026-04-04T12:03:49+02:00
2026-04-05,2.289,2026-04-05T12:04:45+02:00
2026-04-06,2.289,2026-04-06T12:03:57+02:00
2026-04-07,2.289,2026-04-07T12:04:17+02:00
2026-04-08,2.299,2026-04-08T12:04:13+02:00
2026-04-09,2.199,2026-04-09T12:04:00+02:00
2026-04-10,2.289,2026-04-10T12:04:21+02:00
2026-04-11,2.239,2026-04-11T12:04:20+02:00
2026-04-12,2.239,2026-04-12T12:04:23+02:00
2026-04-13,2.239,2026-04-13T12:03:17+02:00
2026-04-14,2.239,2026-04-14T12:04:37+02:00
2026-04-15,2.219,2026-04-15T12:03:32+02:00
2026-04-16,2.199,2026-04-16T12:04:25+02:00
2026-04-17,2.199,2026-04-17T12:04:05+02:00
2026-04-18,2.229,2026-04-18T12:03:50+02:00
2026-04-19,2.229,2026-04-19T12:03:52+02:00
2026-04-20,2.229,2026-04-20T12:03:51+02:00
2026-04-21,2.249,2026-04-21T12:04:24+02:00
2026-04-22,2.239,2026-04-22T12:03:31+02:00
2026-04-23,2.209,2026-04-23T12:03:38+02:00
2026-04-24,2.209,2026-04-24T12:03:44+02:00
2026-04-25,2.279,2026-04-25T12:03:19+02:00
2026-04-26,2.279,2026-04-26T12:03:55+02:00
2026-04-27,2.279,2026-04-27T12:03:47+02:00
2026-04-28,2.279,2026-04-28T12:02:59+02:00
2026-04-29,2.309,2026-04-29T12:03:30+02:00
2026-04-30,2.259,2026-04-30T12:03:33+02:00
