date,price,last_update
2026-04-01,2.039,2026-04-01T12:15:46+02:00
2026-04-02,2.169,2026-04-02T12:17:15+02:00
2026-04-03,2.099,2026-04-03T12:13:07+02:00
2026-04-04,2.109,2026-04-04T12:16:10+02:00
2026-04-05,2.149,2026-04-05T12:12:52+02:00
2026-04-06,2.119,2026-04-06T12:13:06+02:00
2026-04-07,2.139,2026-04-07T12:13:26+02:00
2026-04-08,2.089,2026-04-08T12:00:00+02:00
2026-04-09,2.069,2026-04-09T12:13:17+02:00
2026-04-10,2.089,2026-04-10T12:14:31+02:00
2026-04-11,2.089,2026-04-11T12:13:29+02:00
2026-04-12,2.089,2026-04-12T12:13:30+02:00
2026-04-13,2.099,2026-04-13T12:13:30+02:00
2026-04-14,2.069,2026-04-14T09:03:57+02:00
2026-04-15,2.069,2026-04-14T09:03:57+02:00
2026-04-18,2.169,2026-04-18T12:00:48+02:00
2026-04-19,2.169,2026-04-19T12:00:50+02:00
2026-04-20,2.149,2026-04-20T11:59:46+02:00
2026-04-21,2.089,2026-04-21T12:07:26+02:00
2026-04-22,2.089,2026-04-22T12:02:31+02:00
2026-04-23,2.159,2026-04-23T12:00:35+02:00
2026-04-24,2.159,2026-04-24T12:00:42+02:00
2026-04-25,2.159,2026-04-25T12:01:17+02:00
2026-04-26,2.159,2026-04-26T12:00:53+02:00
2026-04-27,2.159,2026-04-27T12:01:45+02:00
2026-04-28,2.029,2026-04-28T12:00:58+02:00
2026-04-29,2.039,2026-04-29T12:00:28+02:00
2026-04-30,2.159,2026-04-30T12:02:32+02:00
2026-05-01,2.019,2026-05-01T12:03:18+02:00
2026-05-02,2.019,2026-05-02T12:02:20+02:00
2026-05-03,2.019,2026-05-03T12:02:30+02:00
2026-05-04,2.069,2026-05-04T12:02:54+02:00
2026-05-05,2.069,2026-05-05T12:02:47+02:00
2026-05-06,2.069,2026-05-06T12:03:48+02:00
2026-05-07,2.069,2026-05-07T12:03:02+02:00
2026-05-08,2.069,2026-05-08T12:02:30+02:00
2026-05-09,2.069,2026-05-09T12:02:56+02:00
