date,price,last_update
2026-04-01,2.119,2026-04-01T12:02:27+02:00
2026-04-02,2.239,2026-04-02T12:02:48+02:00
2026-04-03,2.249,2026-04-03T12:18:29+02:00
2026-04-04,2.169,2026-04-04T12:00:00+02:00
2026-04-05,2.169,2026-04-05T12:00:00+02:00
2026-04-06,1.229,2026-04-06T12:27:16+02:00
2026-04-07,2.289,2026-04-07T12:02:15+02:00
2026-04-08,2.139,2026-04-08T12:00:00+02:00
2026-04-09,2.139,2026-04-09T12:04:00+02:00
2026-04-10,2.089,2026-04-10T12:02:20+02:00
2026-04-11,2.089,2026-04-11T12:03:19+02:00
2026-04-12,2.089,2026-04-12T12:02:20+02:00
2026-04-13,2.089,2026-04-13T12:03:17+02:00
2026-04-14,2.139,2026-04-14T12:03:35+02:00
2026-04-15,2.109,2026-04-15T12:02:30+02:00
2026-04-16,2.109,2026-04-16T12:03:25+02:00
2026-04-17,2.109,2026-04-17T12:04:05+02:00
2026-04-18,2.109,2026-04-18T12:01:49+02:00
2026-04-19,2.109,2026-04-19T12:02:51+02:00
2026-04-20,2.109,2026-04-20T12:02:50+02:00
2026-04-21,2.109,2026-04-21T12:02:22+02:00
2026-04-22,2.109,2026-04-22T12:02:31+02:00
2026-04-23,2.129,2026-04-23T12:03:38+02:00
2026-04-24,2.149,2026-04-24T12:03:44+02:00
2026-04-25,2.149,2026-04-25T12:03:19+02:00
