date,price,last_update
2026-04-01,2.259,2026-04-01T12:15:46+02:00
2026-04-02,2.299,2026-04-02T12:06:54+02:00
2026-04-03,2.299,2026-04-03T12:00:00+02:00
2026-04-04,2.299,2026-04-04T12:00:00+02:00
2026-04-05,2.299,2026-04-05T12:00:00+02:00
2026-04-06,2.379,2026-04-06T12:00:00+02:00
2026-04-07,2.449,2026-04-07T11:56:06+02:00
2026-04-08,2.449,2026-04-07T11:56:06+02:00
2026-04-09,2.349,2026-04-08T16:05:47+02:00
2026-04-10,2.279,2026-04-09T13:26:41+02:00
2026-04-11,2.249,2026-04-11T09:26:52+02:00
2026-04-12,2.249,2026-04-11T09:26:52+02:00
2026-04-14,2.239,2026-04-13T15:01:07+02:00
2026-04-15,2.189,2026-04-15T07:55:39+02:00
2026-04-16,2.149,2026-04-16T07:35:58+02:00
2026-04-17,2.149,2026-04-16T07:35:58+02:00
2026-04-21,2.079,2026-04-21T07:31:37+02:00
2026-04-22,2.079,2026-04-21T07:31:37+02:00
2026-04-24,2.099,2026-04-24T07:51:03+02:00
2026-04-25,2.099,2026-04-24T07:51:03+02:00
2026-04-28,2.099,2026-04-27T14:00:35+02:00
2026-04-29,2.099,2026-04-29T07:51:21+02:00
2026-04-30,2.079,2026-04-30T09:01:42+02:00
2026-05-01,2.079,2026-04-30T09:01:42+02:00
2026-05-02,1.959,2026-05-01T12:21:28+02:00
2026-05-04,1.999,2026-05-04T11:55:33+02:00
2026-05-05,2.029,2026-05-05T12:05:50+02:00
2026-05-06,1.999,2026-05-06T07:26:13+02:00
2026-05-07,1.999,2026-05-06T07:26:13+02:00
2026-05-08,1.969,2026-05-07T16:55:50+02:00
2026-05-09,1.939,2026-05-08T14:30:56+02:00
2026-05-13,1.919,2026-05-13T11:16:38+02:00
2026-05-14,1.919,2026-05-13T11:16:38+02:00
2026-05-20,1.899,2026-05-20T08:26:45+02:00
2026-05-21,1.899,2026-05-20T08:26:45+02:00
2026-05-27,1.849,2026-05-27T10:56:42+02:00
2026-05-28,1.849,2026-05-27T10:56:42+02:00
2026-05-29,1.809,2026-05-29T07:51:10+02:00
2026-05-30,1.809,2026-05-29T07:51:10+02:00
2026-06-04,1.869,2026-06-03T12:10:56+02:00
2026-06-08,1.869,2026-06-08T11:57:40+02:00
2026-06-09,1.869,2026-06-09T04:11:34+02:00
2026-06-10,1.869,2026-06-09T04:11:34+02:00
2026-06-11,1.849,2026-06-11T12:07:14+02:00
2026-06-12,1.829,2026-06-11T17:06:15+02:00
2026-06-14,1.829,2026-06-14T04:11:45+02:00
2026-06-15,1.729,2026-06-15T08:21:37+02:00
2026-06-16,1.729,2026-06-15T08:21:37+02:00
2026-06-17,1.699,2026-06-17T08:36:22+02:00
2026-06-18,1.699,2026-06-17T08:36:22+02:00
2026-06-19,1.679,2026-06-19T09:45:34+02:00
2026-06-20,1.679,2026-06-19T09:45:34+02:00
2026-06-24,1.669,2026-06-23T15:20:32+02:00
