date,price,last_update
2026-04-01,2.099,2026-04-01T12:24:08+02:00
2026-04-02,2.099,2026-04-02T12:09:58+02:00
2026-04-03,2.119,2026-04-03T12:11:02+02:00
2026-04-04,2.119,2026-04-04T12:11:04+02:00
2026-04-05,2.119,2026-04-05T12:10:51+02:00
2026-04-06,2.119,2026-04-06T12:12:05+02:00
2026-04-07,2.159,2026-04-07T12:11:23+02:00
2026-04-08,2.109,2026-04-08T12:12:25+02:00
2026-04-09,2.099,2026-04-09T12:12:16+02:00
2026-04-10,2.079,2026-04-10T12:12:29+02:00
2026-04-11,2.059,2026-04-11T12:12:27+02:00
2026-04-12,2.059,2026-04-12T12:11:29+02:00
2026-04-13,2.099,2026-04-13T12:10:26+02:00
2026-04-14,2.099,2026-04-14T12:11:48+02:00
2026-04-15,2.079,2026-04-15T12:13:43+02:00
2026-04-16,2.069,2026-04-16T12:13:36+02:00
