date,price,last_update
2026-04-01,2.269,2026-04-01T12:00:00+02:00
2026-04-02,2.269,2026-04-02T12:00:00+02:00
2026-04-03,2.369,2026-04-03T12:03:51+02:00
2026-04-04,2.459,2026-04-04T12:03:49+02:00
2026-04-05,2.409,2026-04-05T12:00:00+02:00
2026-04-06,2.449,2026-04-06T12:04:58+02:00
2026-04-07,2.449,2026-04-07T12:03:16+02:00
2026-04-08,2.399,2026-04-08T12:00:00+02:00
2026-04-09,2.349,2026-04-09T12:01:58+02:00
2026-04-10,2.289,2026-04-10T12:02:20+02:00
2026-04-11,2.289,2026-04-11T12:03:19+02:00
2026-04-12,2.259,2026-04-11T19:43:38+02:00
2026-04-13,2.279,2026-04-13T12:04:19+02:00
2026-04-14,2.309,2026-04-14T12:02:34+02:00
2026-04-15,2.239,2026-04-15T12:02:30+02:00
2026-04-16,2.169,2026-04-16T12:04:25+02:00
2026-04-17,2.169,2026-04-17T12:03:02+02:00
2026-04-18,2.179,2026-04-18T12:01:49+02:00
2026-04-19,2.169,2026-04-19T12:03:52+02:00
