date,price,last_update
2026-04-01,2.219,2026-04-01T12:07:36+02:00
2026-04-02,2.279,2026-04-02T12:06:54+02:00
2026-04-03,2.239,2026-04-03T12:06:55+02:00
2026-04-04,2.249,2026-04-04T12:05:55+02:00
2026-04-05,2.289,2026-04-05T12:10:51+02:00
2026-04-06,2.259,2026-04-06T12:04:58+02:00
2026-04-07,2.339,2026-04-07T12:07:20+02:00
2026-04-08,2.239,2026-04-08T12:00:00+02:00
2026-04-09,2.189,2026-04-09T12:07:09+02:00
2026-04-10,2.199,2026-04-10T12:07:24+02:00
2026-04-11,2.199,2026-04-11T12:10:25+02:00
2026-04-12,2.199,2026-04-12T12:10:28+02:00
2026-04-13,2.239,2026-04-13T12:07:23+02:00
2026-04-14,2.189,2026-04-14T12:07:41+02:00
2026-04-15,2.179,2026-04-15T12:07:37+02:00
2026-04-16,2.189,2026-04-16T12:07:29+02:00
2026-04-17,2.179,2026-04-17T12:07:10+02:00
