date,price,last_update
2026-04-01,2.019,2026-04-01T07:08:37+02:00
2026-04-02,2.189,2026-04-02T12:37:12+02:00
2026-04-03,2.239,2026-04-03T12:11:02+02:00
2026-04-04,2.229,2026-04-04T12:17:11+02:00
2026-04-05,2.209,2026-04-05T12:11:51+02:00
2026-04-06,2.199,2026-04-06T20:12:54+02:00
2026-04-07,2.209,2026-04-07T12:14:27+02:00
2026-04-08,2.199,2026-04-08T12:26:41+02:00
2026-04-09,2.099,2026-04-09T12:13:17+02:00
2026-04-10,2.159,2026-04-10T12:12:29+02:00
2026-04-11,2.149,2026-04-11T12:13:29+02:00
2026-04-12,2.149,2026-04-12T12:13:30+02:00
2026-04-13,2.139,2026-04-13T12:07:23+02:00
2026-04-14,2.199,2026-04-14T12:07:41+02:00
2026-04-15,2.159,2026-04-15T12:07:37+02:00
2026-04-16,2.119,2026-04-16T12:07:29+02:00
