date,price,last_update
2026-04-01,2.209,2026-04-01T12:05:33+02:00
2026-04-02,2.179,2026-04-02T12:04:53+02:00
2026-04-03,2.269,2026-04-03T12:06:55+02:00
2026-04-04,2.249,2026-04-04T12:06:56+02:00
2026-04-05,2.269,2026-04-05T12:07:49+02:00
2026-04-06,2.269,2026-04-06T12:34:21+02:00
2026-04-07,2.269,2026-04-07T12:07:20+02:00
2026-04-08,2.249,2026-04-08T12:07:18+02:00
2026-04-09,2.139,2026-04-09T10:17:05+02:00
2026-04-10,2.089,2026-04-09T13:23:34+02:00
2026-04-11,2.179,2026-04-11T12:07:23+02:00
2026-04-12,2.179,2026-04-12T12:07:25+02:00
2026-04-13,2.069,2026-04-12T12:56:11+02:00
2026-04-14,2.069,2026-04-13T15:37:49+02:00
2026-04-15,2.079,2026-04-14T12:50:34+02:00
2026-04-16,2.069,2026-04-16T07:27:50+02:00
2026-04-17,2.169,2026-04-17T12:07:10+02:00
2026-04-18,2.059,2026-04-17T14:23:54+02:00
2026-04-19,2.169,2026-04-19T12:07:56+02:00
2026-04-20,2.169,2026-04-20T12:06:54+02:00
2026-04-21,2.169,2026-04-21T12:07:26+02:00
2026-04-22,2.189,2026-04-22T12:07:35+02:00
2026-04-23,2.189,2026-04-23T12:07:41+02:00
2026-04-24,2.209,2026-04-24T12:07:48+02:00
2026-04-25,2.039,2026-04-24T15:52:12+02:00
