date,price,last_update
2026-04-01,2.179,2026-04-01T11:59:22+02:00
2026-04-02,2.309,2026-04-02T11:59:37+02:00
2026-04-03,2.279,2026-04-03T12:02:50+02:00
2026-04-04,2.259,2026-04-04T12:08:57+02:00
2026-04-05,2.359,2026-04-05T12:01:43+02:00
2026-04-06,2.299,2026-04-06T12:06:59+02:00
2026-04-07,2.289,2026-04-07T12:01:14+02:00
2026-04-08,2.289,2026-04-08T12:00:00+02:00
2026-04-09,2.219,2026-04-09T11:59:55+02:00
2026-04-10,2.199,2026-04-10T12:00:17+02:00
2026-04-11,2.179,2026-04-11T12:07:23+02:00
2026-04-12,2.179,2026-04-12T12:13:30+02:00
2026-04-13,2.249,2026-04-13T12:02:16+02:00
2026-04-14,2.269,2026-04-14T12:03:35+02:00
