date,price,last_update
2026-04-01,2.109,2026-04-01T12:00:00+02:00
2026-04-02,2.359,2026-04-02T12:35:05+02:00
2026-04-03,2.119,2026-04-03T12:00:00+02:00
2026-04-04,2.169,2026-04-04T12:06:56+02:00
2026-04-05,2.259,2026-04-05T12:14:53+02:00
2026-04-06,2.089,2026-04-06T12:00:00+02:00
2026-04-07,2.069,2026-04-07T12:00:00+02:00
2026-04-08,2.159,2026-04-08T12:07:18+02:00
2026-04-09,2.109,2026-04-08T16:46:34+02:00
2026-04-10,2.159,2026-04-10T12:07:24+02:00
2026-04-11,2.059,2026-04-11T01:24:29+02:00
2026-04-12,2.059,2026-04-11T01:24:29+02:00
2026-04-14,2.109,2026-04-13T17:55:10+02:00
2026-04-15,2.089,2026-04-14T23:27:26+02:00
2026-04-16,2.089,2026-04-15T14:25:38+02:00
2026-04-18,2.109,2026-04-17T15:54:30+02:00
2026-04-28,2.159,2026-04-27T12:08:51+02:00
2026-05-01,2.209,2026-04-30T12:01:31+02:00
2026-05-05,2.490,2026-05-05T12:02:47+02:00
2026-05-06,2.290,2026-05-06T12:03:48+02:00
2026-05-07,2.290,2026-05-07T12:04:04+02:00
2026-05-08,1.889,2026-05-08T05:43:26+02:00
2026-05-09,2.290,2026-05-09T12:04:58+02:00
2026-05-10,2.290,2026-05-10T12:10:06+02:00
2026-05-11,2.299,2026-05-11T12:07:47+02:00
2026-05-12,2.290,2026-05-12T12:09:29+02:00
