date,price,last_update
2026-04-01,2.128,2026-04-01T12:00:00+02:00
2026-04-02,2.229,2026-04-02T11:58:35+02:00
2026-04-03,2.209,2026-04-03T12:00:00+02:00
2026-04-04,2.239,2026-04-04T11:59:45+02:00
2026-04-05,2.229,2026-04-05T11:59:42+02:00
2026-04-06,2.239,2026-04-06T11:59:55+02:00
2026-04-07,2.239,2026-04-07T12:00:00+02:00
2026-04-08,2.229,2026-04-08T11:58:57+02:00
2026-04-09,2.179,2026-04-09T11:59:55+02:00
2026-04-10,2.209,2026-04-10T11:59:17+02:00
2026-04-11,2.209,2026-04-11T12:01:18+02:00
2026-04-12,2.209,2026-04-12T11:59:16+02:00
2026-04-13,2.159,2026-04-13T05:59:36+02:00
2026-04-14,2.159,2026-04-13T05:59:36+02:00
2026-04-15,2.139,2026-04-15T11:59:27+02:00
2026-04-16,2.159,2026-04-16T11:59:20+02:00
2026-04-17,2.089,2026-04-16T18:21:29+02:00
2026-04-18,2.159,2026-04-18T11:59:48+02:00
2026-04-19,2.149,2026-04-19T11:59:49+02:00
2026-04-20,2.159,2026-04-20T11:59:46+02:00
2026-04-21,2.109,2026-04-21T11:59:18+02:00
2026-04-22,2.209,2026-04-22T11:58:28+02:00
2026-04-23,2.159,2026-04-23T11:59:35+02:00
2026-04-24,2.159,2026-04-24T11:59:40+02:00
2026-04-25,2.149,2026-04-25T11:59:14+02:00
2026-04-26,2.149,2026-04-26T12:00:53+02:00
2026-04-27,2.159,2026-04-27T11:58:41+02:00
2026-04-28,2.159,2026-04-28T11:58:55+02:00
2026-04-29,2.099,2026-04-29T11:59:27+02:00
2026-04-30,2.109,2026-04-30T11:58:28+02:00
2026-05-01,2.109,2026-05-01T11:58:59+02:00
2026-05-02,2.069,2026-05-02T11:58:52+02:00
2026-05-03,2.069,2026-05-03T12:01:27+02:00
2026-05-04,2.039,2026-05-04T11:58:43+02:00
2026-05-05,2.109,2026-05-05T11:59:31+02:00
2026-05-06,2.059,2026-05-06T12:00:42+02:00
2026-05-07,2.009,2026-05-07T12:00:58+02:00
2026-05-08,2.049,2026-05-08T12:02:30+02:00
2026-05-09,2.109,2026-05-09T12:00:55+02:00
2026-05-10,2.079,2026-05-10T12:00:58+02:00
2026-05-11,2.089,2026-05-11T12:01:42+02:00
2026-05-12,2.099,2026-05-12T12:01:22+02:00
2026-05-13,1.989,2026-05-13T12:01:29+02:00
2026-05-14,1.959,2026-05-13T16:49:24+02:00
2026-05-15,2.009,2026-05-15T12:01:44+02:00
2026-05-16,2.019,2026-05-16T12:01:41+02:00
2026-05-17,2.019,2026-05-17T12:01:12+02:00
2026-05-18,2.019,2026-05-18T12:00:20+02:00
2026-05-19,2.029,2026-05-19T12:01:51+02:00
2026-05-20,2.009,2026-05-20T12:01:11+02:00
2026-05-21,2.009,2026-05-21T12:01:20+02:00
