date,price,last_update
2026-04-01,2.049,2026-04-01T12:00:00+02:00
2026-04-02,2.149,2026-04-02T12:01:46+02:00
2026-04-03,2.149,2026-04-03T12:00:00+02:00
2026-04-04,2.149,2026-04-04T12:00:00+02:00
2026-04-05,2.149,2026-04-05T12:00:00+02:00
2026-04-06,2.149,2026-04-06T12:00:00+02:00
2026-04-11,2.079,2026-04-10T19:07:37+02:00
2026-04-16,2.049,2026-04-15T19:45:40+02:00
2026-04-18,2.039,2026-04-17T17:53:35+02:00
2026-04-23,2.029,2026-04-22T18:57:04+02:00
2026-04-25,2.069,2026-04-24T12:02:43+02:00
2026-05-01,1.939,2026-05-01T11:26:48+02:00
2026-05-02,1.939,2026-05-01T11:26:48+02:00
2026-05-16,1.939,2026-05-15T16:01:36+02:00
2026-05-27,1.939,2026-05-27T11:03:48+02:00
2026-05-28,1.939,2026-05-27T11:03:48+02:00
2026-06-03,1.929,2026-06-02T18:51:28+02:00
2026-06-08,1.929,2026-06-08T11:57:40+02:00
