date,price,last_update
2026-04-01,2.599,2026-04-01T12:12:43+02:00
2026-04-02,2.579,2026-04-02T12:06:54+02:00
2026-04-03,2.559,2026-04-03T12:06:55+02:00
2026-04-04,2.559,2026-04-04T12:06:56+02:00
2026-04-05,2.559,2026-04-05T12:07:49+02:00
2026-04-06,2.559,2026-04-06T12:06:59+02:00
2026-04-07,2.559,2026-04-07T12:10:22+02:00
2026-04-08,2.459,2026-04-07T12:52:15+02:00
2026-04-09,2.459,2026-04-08T12:52:23+02:00
2026-04-10,2.459,2026-04-09T12:52:58+02:00
2026-04-11,2.379,2026-04-10T15:07:38+02:00
2026-04-14,2.509,2026-04-14T12:07:41+02:00
2026-04-15,2.559,2026-04-15T12:07:37+02:00
2026-04-16,2.559,2026-04-16T12:10:32+02:00
2026-04-17,2.569,2026-04-17T12:07:10+02:00
