date,price,last_update
2026-04-01,2.269,2026-04-01T12:02:27+02:00
2026-04-02,2.269,2026-04-02T12:00:00+02:00
2026-04-03,2.319,2026-04-03T12:05:54+02:00
2026-04-04,2.319,2026-04-04T12:00:00+02:00
2026-04-05,2.319,2026-04-05T12:00:00+02:00
2026-04-06,2.319,2026-04-06T12:00:00+02:00
2026-04-08,2.369,2026-04-07T15:22:23+02:00
2026-04-10,2.279,2026-04-09T17:44:15+02:00
2026-04-11,2.229,2026-04-11T10:18:41+02:00
2026-04-12,2.229,2026-04-11T10:18:41+02:00
2026-04-14,2.279,2026-04-13T18:04:20+02:00
2026-04-15,2.249,2026-04-14T12:19:56+02:00
2026-04-16,2.199,2026-04-15T16:27:59+02:00
2026-04-18,2.169,2026-04-17T17:08:49+02:00
2026-04-19,2.119,2026-04-18T21:58:05+02:00
2026-04-21,2.079,2026-04-21T10:34:51+02:00
