date,price,last_update
2026-04-01,2.279,2026-04-01T11:56:19+02:00
2026-04-02,2.299,2026-04-02T12:03:51+02:00
2026-04-03,2.299,2026-04-03T12:00:00+02:00
2026-04-04,2.319,2026-04-04T12:21:15+02:00
2026-04-05,2.319,2026-04-05T12:00:00+02:00
2026-04-06,2.319,2026-04-06T12:00:00+02:00
2026-04-07,2.389,2026-04-07T16:53:17+02:00
2026-04-08,2.439,2026-04-08T12:04:13+02:00
2026-04-09,2.379,2026-04-09T09:49:41+02:00
2026-04-10,2.299,2026-04-10T07:44:26+02:00
2026-04-11,2.299,2026-04-10T07:44:26+02:00
2026-04-13,2.269,2026-04-12T12:08:26+02:00
2026-04-14,2.229,2026-04-14T08:33:22+02:00
2026-04-15,2.229,2026-04-14T08:33:22+02:00
2026-04-16,2.209,2026-04-16T06:45:07+02:00
2026-04-17,2.169,2026-04-17T10:46:32+02:00
2026-04-18,2.169,2026-04-17T10:46:32+02:00
2026-04-20,2.149,2026-04-20T08:55:30+02:00
2026-04-21,2.149,2026-04-20T08:55:30+02:00
2026-04-22,2.119,2026-04-22T08:29:17+02:00
2026-04-23,2.119,2026-04-22T08:29:17+02:00
2026-04-28,2.149,2026-04-27T12:04:48+02:00
2026-05-01,1.989,2026-05-01T11:18:13+02:00
2026-05-02,1.989,2026-05-01T11:18:13+02:00
2026-05-03,2.019,2026-05-02T12:17:30+02:00
2026-05-09,1.999,2026-05-09T11:16:17+02:00
2026-05-10,1.999,2026-05-09T11:16:17+02:00
2026-05-15,1.959,2026-05-15T07:52:35+02:00
2026-05-16,1.959,2026-05-15T07:52:35+02:00
2026-05-18,1.929,2026-05-18T09:34:10+02:00
2026-05-19,1.929,2026-05-18T09:34:10+02:00
2026-05-24,1.909,2026-05-23T19:36:50+02:00
2026-05-27,1.889,2026-05-27T08:16:16+02:00
2026-05-28,1.879,2026-05-28T10:28:32+02:00
2026-05-29,1.879,2026-05-28T10:28:32+02:00
2026-06-02,1.949,2026-06-02T11:45:21+02:00
2026-06-03,1.849,2026-06-02T12:03:45+02:00
2026-06-08,1.849,2026-06-08T11:57:40+02:00
2026-06-09,1.849,2026-06-09T04:11:34+02:00
2026-06-10,1.849,2026-06-09T04:11:34+02:00
2026-06-11,1.809,2026-06-11T08:29:51+02:00
2026-06-12,1.809,2026-06-11T08:29:51+02:00
2026-06-14,1.809,2026-06-14T04:11:45+02:00
2026-06-15,1.799,2026-06-15T07:50:06+02:00
2026-06-16,1.759,2026-06-16T06:57:39+02:00
2026-06-17,1.729,2026-06-17T08:41:28+02:00
2026-06-18,1.729,2026-06-18T07:33:55+02:00
2026-06-19,1.709,2026-06-18T20:08:41+02:00
2026-06-29,1.709,2026-06-29T07:45:19+02:00
2026-06-30,1.839,2026-06-30T12:05:39+02:00
2026-07-01,1.939,2026-07-01T12:09:15+02:00
2026-07-02,1.939,2026-07-01T12:09:15+02:00
2026-07-03,1.939,2026-07-02T12:27:21+02:00
2026-07-07,1.909,2026-07-07T07:27:16+02:00
