date,price,last_update
2026-04-01,2.399,2026-04-01T12:02:27+02:00
2026-04-02,2.379,2026-04-02T11:59:37+02:00
2026-04-03,2.539,2026-04-03T11:58:47+02:00
2026-04-04,2.509,2026-04-04T12:00:46+02:00
2026-04-05,2.509,2026-04-05T11:59:42+02:00
2026-04-06,2.509,2026-04-06T11:59:55+02:00
2026-04-07,2.509,2026-04-07T12:00:11+02:00
2026-04-08,2.539,2026-04-08T12:00:00+02:00
2026-04-09,2.429,2026-04-09T11:59:55+02:00
2026-04-10,2.429,2026-04-10T11:59:17+02:00
2026-04-11,2.429,2026-04-11T11:59:14+02:00
2026-04-12,2.429,2026-04-12T11:59:16+02:00
2026-04-13,2.449,2026-04-13T12:00:14+02:00
2026-04-14,2.369,2026-04-14T12:00:30+02:00
2026-04-15,2.369,2026-04-15T12:04:33+02:00
2026-04-16,2.369,2026-04-16T12:03:25+02:00
2026-04-17,2.349,2026-04-17T12:05:07+02:00
