date,price,last_update
2026-04-01,2.219,2026-04-01T12:11:41+02:00
2026-04-02,2.239,2026-04-02T12:03:51+02:00
2026-04-03,2.269,2026-04-03T12:03:51+02:00
2026-04-04,2.309,2026-04-04T12:09:58+02:00
2026-04-05,2.319,2026-04-05T12:03:45+02:00
2026-04-06,2.339,2026-04-06T12:03:57+02:00
2026-04-07,2.319,2026-04-07T12:05:17+02:00
2026-04-08,2.269,2026-04-08T12:08:19+02:00
2026-04-09,2.229,2026-04-09T12:07:09+02:00
2026-04-10,2.209,2026-04-10T12:05:22+02:00
2026-04-11,2.209,2026-04-11T12:07:23+02:00
2026-04-12,2.209,2026-04-12T12:10:28+02:00
2026-04-13,2.229,2026-04-13T12:04:19+02:00
2026-04-14,2.229,2026-04-14T12:04:37+02:00
2026-04-15,2.209,2026-04-15T12:04:33+02:00
2026-04-16,2.219,2026-04-16T12:04:25+02:00
2026-04-17,2.229,2026-04-17T12:04:05+02:00
2026-04-18,2.209,2026-04-18T12:03:50+02:00
2026-04-19,2.209,2026-04-19T12:03:52+02:00
2026-04-20,2.199,2026-04-20T12:03:51+02:00
2026-04-21,2.189,2026-04-21T12:04:24+02:00
2026-04-22,2.189,2026-04-22T12:03:31+02:00
