date,price,last_update
2026-04-01,2.209,2026-04-01T11:58:20+02:00
2026-04-02,2.209,2026-04-02T11:59:37+02:00
2026-04-03,2.159,2026-04-03T11:57:46+02:00
2026-04-04,2.289,2026-04-04T11:57:43+02:00
2026-04-05,2.339,2026-04-05T11:58:41+02:00
2026-04-06,2.329,2026-04-06T11:57:53+02:00
2026-04-07,2.269,2026-04-07T12:13:26+02:00
2026-04-08,2.279,2026-04-08T11:58:57+02:00
2026-04-09,2.179,2026-04-09T11:59:55+02:00
2026-04-10,2.179,2026-04-10T11:58:16+02:00
2026-04-11,2.159,2026-04-11T11:57:13+02:00
2026-04-12,2.159,2026-04-12T11:58:16+02:00
2026-04-13,2.199,2026-04-13T11:59:14+02:00
2026-04-14,2.249,2026-04-14T11:58:28+02:00
2026-04-15,2.219,2026-04-15T11:57:25+02:00
2026-04-16,2.179,2026-04-16T11:58:19+02:00
2026-04-17,2.189,2026-04-17T11:58:57+02:00
2026-04-18,2.179,2026-04-18T11:59:48+02:00
2026-04-19,2.169,2026-04-19T11:57:47+02:00
2026-04-20,2.179,2026-04-20T11:58:46+02:00
2026-04-21,2.179,2026-04-21T12:00:20+02:00
2026-04-22,2.189,2026-04-22T12:07:35+02:00
2026-04-23,2.189,2026-04-23T12:03:38+02:00
2026-04-24,2.199,2026-04-24T12:03:44+02:00
2026-04-25,2.199,2026-04-25T12:02:19+02:00
2026-04-26,2.209,2026-04-26T12:01:54+02:00
2026-04-27,2.219,2026-04-27T12:02:46+02:00
