date,price,last_update
2026-04-01,2.029,2026-04-01T12:00:00+02:00
2026-04-02,2.029,2026-04-02T12:00:00+02:00
2026-04-03,2.209,2026-04-03T12:10:00+02:00
2026-04-04,2.209,2026-04-04T12:00:00+02:00
2026-04-05,2.209,2026-04-05T12:00:00+02:00
2026-04-06,2.209,2026-04-06T12:00:00+02:00
2026-04-07,2.109,2026-04-07T18:41:58+02:00
2026-04-08,2.209,2026-04-08T12:08:19+02:00
2026-04-09,2.079,2026-04-09T08:37:16+02:00
2026-04-10,2.059,2026-04-09T17:39:09+02:00
2026-04-12,2.059,2026-04-11T13:12:23+02:00
2026-04-15,2.059,2026-04-14T13:27:27+02:00
2026-04-16,2.059,2026-04-16T10:47:44+02:00
2026-04-17,2.059,2026-04-16T14:32:26+02:00
2026-04-20,1.999,2026-04-20T11:23:13+02:00
2026-04-21,1.999,2026-04-21T08:17:33+02:00
2026-04-22,1.999,2026-04-21T08:17:33+02:00
2026-04-28,2.039,2026-04-27T15:24:55+02:00
2026-04-30,2.009,2026-04-30T08:14:57+02:00
2026-05-01,2.009,2026-05-01T10:48:36+02:00
2026-05-02,2.009,2026-05-01T10:48:36+02:00
2026-05-03,1.939,2026-05-02T14:45:21+02:00
2026-05-07,1.959,2026-05-06T12:11:53+02:00
2026-05-09,1.909,2026-05-09T11:27:29+02:00
2026-05-10,1.909,2026-05-09T11:27:29+02:00
2026-05-13,1.919,2026-05-12T12:04:25+02:00
2026-05-28,1.889,2026-05-28T08:53:09+02:00
2026-05-29,1.889,2026-05-28T08:53:09+02:00
2026-06-03,1.849,2026-06-03T08:13:13+02:00
2026-06-04,1.849,2026-06-03T08:13:13+02:00
2026-06-07,1.869,2026-06-06T12:04:51+02:00
2026-06-08,1.869,2026-06-08T11:57:40+02:00
2026-06-09,1.869,2026-06-09T04:11:34+02:00
2026-06-10,1.859,2026-06-10T08:13:43+02:00
2026-06-11,1.859,2026-06-11T06:59:17+02:00
2026-06-12,1.859,2026-06-11T06:59:17+02:00
2026-06-14,1.859,2026-06-14T04:11:45+02:00
2026-06-15,1.859,2026-06-15T07:50:06+02:00
2026-06-16,1.829,2026-06-16T09:26:11+02:00
2026-06-17,1.799,2026-06-17T09:01:46+02:00
2026-06-18,1.799,2026-06-17T09:01:46+02:00
2026-06-22,1.769,2026-06-22T08:47:39+02:00
2026-06-23,1.769,2026-06-22T08:47:39+02:00
2026-06-29,1.829,2026-06-29T12:04:52+02:00
2026-06-30,1.959,2026-06-30T12:07:43+02:00
2026-07-01,1.959,2026-06-30T12:07:43+02:00
2026-07-02,2.009,2026-07-02T07:21:48+02:00
2026-07-03,1.969,2026-07-02T14:04:57+02:00
2026-07-10,1.989,2026-07-09T12:16:55+02:00
2026-07-14,1.999,2026-07-13T12:03:47+02:00
2026-07-16,1.999,2026-07-15T12:07:43+02:00
2026-07-18,2.069,2026-07-17T12:04:50+02:00
2026-07-26,2.069,2026-07-26T07:33:20+02:00
2026-07-27,2.069,2026-07-26T07:33:20+02:00
2026-07-30,2.089,2026-07-29T12:05:04+02:00
2026-08-04,2.129,2026-08-03T12:04:54+02:00
2026-08-05,2.009,2026-08-05T06:25:36+02:00
2026-08-06,2.009,2026-08-05T06:25:36+02:00
