date,price,last_update
2026-04-06,2.539,2026-04-06T12:00:00+02:00
2026-04-21,2.439,2026-04-20T12:49:40+02:00
2026-05-07,2.399,2026-05-07T10:07:53+02:00
2026-05-08,2.339,2026-05-08T08:49:14+02:00
2026-05-09,2.339,2026-05-08T08:49:14+02:00
2026-05-12,2.339,2026-05-12T08:17:19+02:00
2026-05-13,2.309,2026-05-13T08:20:44+02:00
2026-05-14,2.309,2026-05-13T08:20:44+02:00
2026-05-22,2.389,2026-05-21T12:45:58+02:00
2026-05-23,2.449,2026-05-22T12:23:31+02:00
2026-05-27,2.449,2026-05-27T12:07:47+02:00
2026-05-28,2.509,2026-05-28T12:12:10+02:00
2026-05-29,2.499,2026-05-29T12:07:08+02:00
2026-05-30,2.479,2026-05-29T12:19:22+02:00
2026-06-01,2.439,2026-06-01T12:03:38+02:00
2026-06-02,2.419,2026-06-02T12:07:48+02:00
2026-06-03,2.459,2026-06-03T12:07:53+02:00
2026-06-04,2.429,2026-06-03T14:57:50+02:00
2026-06-05,2.399,2026-06-05T08:13:30+02:00
2026-06-06,2.399,2026-06-05T08:13:30+02:00
2026-06-08,2.489,2026-06-08T12:13:55+02:00
2026-06-09,2.469,2026-06-09T12:07:07+02:00
2026-06-10,2.399,2026-06-10T09:17:38+02:00
2026-06-11,2.399,2026-06-11T06:59:17+02:00
