date,price,last_update
2026-04-01,2.378,2026-04-01T12:00:00+02:00
2026-04-02,2.408,2026-04-02T12:05:53+02:00
2026-04-03,2.458,2026-04-03T12:03:51+02:00
2026-04-04,2.458,2026-04-04T12:03:49+02:00
2026-04-05,2.458,2026-04-05T12:05:46+02:00
2026-04-06,2.458,2026-04-06T12:03:57+02:00
2026-04-07,2.718,2026-04-07T12:05:17+02:00
2026-04-08,2.718,2026-04-08T12:04:13+02:00
2026-04-09,2.728,2026-04-09T12:07:09+02:00
2026-04-10,2.568,2026-04-10T12:02:20+02:00
2026-04-11,2.508,2026-04-11T12:07:23+02:00
2026-04-12,2.208,2026-04-11T18:10:02+02:00
2026-04-14,2.508,2026-04-14T12:05:39+02:00
2026-04-15,2.478,2026-04-15T12:02:30+02:00
2026-04-16,2.478,2026-04-16T12:03:25+02:00
2026-04-17,2.478,2026-04-17T12:02:00+02:00
2026-04-18,2.388,2026-04-18T12:02:50+02:00
2026-04-19,2.388,2026-04-19T12:05:54+02:00
