date,price,last_update
2026-04-01,2.209,2026-04-01T12:02:27+02:00
2026-04-02,2.179,2026-04-02T12:03:51+02:00
2026-04-03,2.269,2026-04-03T12:04:54+02:00
2026-04-04,2.249,2026-04-04T12:04:54+02:00
2026-04-05,2.269,2026-04-05T12:02:44+02:00
2026-04-06,2.269,2026-04-06T12:03:57+02:00
2026-04-07,2.269,2026-04-07T12:07:20+02:00
2026-04-08,2.249,2026-04-08T12:03:10+02:00
2026-04-09,2.179,2026-04-09T12:04:00+02:00
2026-04-10,2.179,2026-04-10T12:04:21+02:00
2026-04-11,2.179,2026-04-11T12:04:20+02:00
2026-04-12,2.179,2026-04-12T12:04:23+02:00
2026-04-13,2.179,2026-04-13T12:04:19+02:00
2026-04-14,2.179,2026-04-14T12:02:34+02:00
2026-04-15,2.179,2026-04-15T12:07:37+02:00
2026-04-16,2.179,2026-04-16T12:04:25+02:00
2026-04-17,2.169,2026-04-17T12:04:05+02:00
2026-04-18,2.169,2026-04-18T12:03:50+02:00
2026-04-19,2.169,2026-04-19T12:02:51+02:00
