date,price,last_update
2026-04-01,2.288,2026-04-01T12:00:00+02:00
2026-04-02,2.318,2026-04-02T12:02:48+02:00
2026-04-03,2.318,2026-04-03T12:00:00+02:00
2026-04-04,2.318,2026-04-04T12:00:00+02:00
2026-04-05,2.418,2026-04-05T12:01:43+02:00
2026-04-06,2.418,2026-04-06T12:00:00+02:00
2026-04-07,2.418,2026-04-07T12:00:00+02:00
2026-04-08,2.368,2026-04-08T12:00:00+02:00
2026-04-09,2.338,2026-04-09T10:15:02+02:00
2026-04-10,2.338,2026-04-09T10:15:02+02:00
2026-04-14,2.258,2026-04-13T15:12:23+02:00
2026-04-16,2.198,2026-04-15T12:16:46+02:00
2026-04-20,2.058,2026-04-20T09:17:54+02:00
2026-04-21,2.058,2026-04-20T09:17:54+02:00
2026-04-24,2.118,2026-04-23T12:01:36+02:00
2026-04-29,2.218,2026-04-28T12:00:58+02:00
2026-05-01,2.118,2026-05-01T00:01:01+02:00
