date,price,last_update
2026-04-01,2.599,2026-04-01T12:05:33+02:00
2026-04-02,2.599,2026-04-02T12:05:53+02:00
2026-04-03,2.599,2026-04-03T12:05:54+02:00
2026-04-04,2.599,2026-04-04T12:05:55+02:00
2026-04-05,2.599,2026-04-05T12:04:45+02:00
2026-04-06,2.599,2026-04-06T12:04:58+02:00
2026-04-07,2.599,2026-04-07T12:04:17+02:00
2026-04-08,2.499,2026-04-08T12:05:15+02:00
2026-04-09,2.529,2026-04-09T12:05:03+02:00
2026-04-10,2.529,2026-04-10T12:05:22+02:00
2026-04-11,2.499,2026-04-11T12:04:20+02:00
2026-04-12,2.499,2026-04-12T12:05:23+02:00
2026-04-13,2.529,2026-04-13T12:04:19+02:00
2026-04-14,2.529,2026-04-14T12:04:37+02:00
2026-04-15,2.339,2026-04-15T12:05:34+02:00
2026-04-16,2.339,2026-04-16T12:04:25+02:00
2026-04-17,2.339,2026-04-17T12:05:07+02:00
2026-04-18,2.339,2026-04-18T12:04:51+02:00
2026-04-19,2.339,2026-04-19T12:05:54+02:00
2026-04-20,2.249,2026-04-20T12:00:49+02:00
