date,price,last_update
2026-04-01,2.149,2026-04-01T12:05:33+02:00
2026-04-02,2.179,2026-04-02T12:06:54+02:00
2026-04-03,2.239,2026-04-03T12:06:55+02:00
2026-04-04,2.219,2026-04-04T12:06:56+02:00
2026-04-05,2.239,2026-04-05T12:04:45+02:00
2026-04-06,2.229,2026-04-06T12:06:59+02:00
2026-04-07,2.229,2026-04-07T12:00:00+02:00
2026-04-08,2.219,2026-04-07T12:07:20+02:00
2026-04-09,2.179,2026-04-08T12:05:15+02:00
2026-04-10,2.229,2026-04-10T12:04:21+02:00
2026-04-11,2.179,2026-04-10T15:21:50+02:00
2026-04-12,2.169,2026-04-11T12:07:23+02:00
2026-04-14,2.179,2026-04-14T09:50:49+02:00
2026-04-15,2.179,2026-04-14T16:52:11+02:00
2026-04-16,2.169,2026-04-15T13:52:53+02:00
2026-04-17,2.159,2026-04-16T13:25:07+02:00
2026-04-19,2.119,2026-04-18T14:21:25+02:00
