date,price,last_update
2026-04-01,2.309,2026-04-01T12:00:00+02:00
2026-04-02,2.269,2026-04-02T12:00:00+02:00
2026-04-03,2.369,2026-04-03T12:01:49+02:00
2026-04-04,2.459,2026-04-04T12:03:49+02:00
2026-04-05,2.389,2026-04-05T12:00:00+02:00
2026-04-06,2.449,2026-04-06T12:01:56+02:00
2026-04-07,2.449,2026-04-07T12:03:16+02:00
2026-04-08,2.389,2026-04-08T12:00:00+02:00
2026-04-09,2.339,2026-04-09T12:02:59+02:00
2026-04-10,2.289,2026-04-10T12:02:20+02:00
2026-04-11,2.299,2026-04-11T12:03:19+02:00
2026-04-12,2.259,2026-04-11T20:12:07+02:00
2026-04-13,2.289,2026-04-13T12:04:19+02:00
2026-04-14,2.309,2026-04-14T12:01:33+02:00
2026-04-15,2.239,2026-04-15T12:04:33+02:00
2026-04-16,2.179,2026-04-16T12:01:22+02:00
2026-04-17,2.169,2026-04-17T12:03:02+02:00
2026-04-18,2.179,2026-04-18T12:01:49+02:00
2026-04-19,2.169,2026-04-19T12:02:51+02:00
2026-04-20,2.209,2026-04-20T12:03:51+02:00
2026-04-21,2.229,2026-04-21T12:02:22+02:00
2026-04-22,2.209,2026-04-22T12:03:31+02:00
2026-04-23,2.209,2026-04-23T12:03:38+02:00
2026-04-24,2.239,2026-04-24T12:01:42+02:00
