date,price,last_update
2026-04-05,2.189,2026-04-05T12:00:00+02:00
2026-04-06,2.189,2026-04-06T12:00:00+02:00
2026-04-07,2.189,2026-04-07T12:00:00+02:00
2026-04-11,2.189,2026-04-10T12:46:05+02:00
2026-04-20,2.189,2026-04-20T10:46:29+02:00
2026-04-21,2.189,2026-04-20T10:46:29+02:00
2026-04-23,2.119,2026-04-22T17:08:15+02:00
2026-04-28,2.149,2026-04-27T12:31:17+02:00
2026-05-06,2.039,2026-05-05T12:04:49+02:00
2026-05-08,2.039,2026-05-08T09:40:04+02:00
2026-05-09,2.039,2026-05-08T09:40:04+02:00
2026-05-20,2.079,2026-05-20T12:03:13+02:00
2026-05-21,2.079,2026-05-20T12:03:13+02:00
2026-05-27,2.079,2026-05-27T09:14:16+02:00
2026-05-28,2.079,2026-05-27T09:14:16+02:00
2026-06-01,2.039,2026-05-31T15:29:12+02:00
2026-06-03,2.039,2026-06-02T14:31:16+02:00
2026-06-05,2.039,2026-06-05T11:51:10+02:00
2026-06-06,2.039,2026-06-05T11:51:10+02:00
2026-06-08,2.039,2026-06-08T11:57:40+02:00
2026-06-09,2.039,2026-06-09T04:11:34+02:00
2026-06-10,2.039,2026-06-09T04:11:34+02:00
2026-06-11,1.939,2026-06-11T10:13:31+02:00
2026-06-12,1.939,2026-06-11T10:13:31+02:00
2026-06-14,1.939,2026-06-14T04:11:45+02:00
2026-06-15,1.939,2026-06-15T07:50:06+02:00
2026-06-16,1.939,2026-06-15T06:01:23+02:00
2026-06-17,1.889,2026-06-17T08:11:56+02:00
2026-06-18,1.889,2026-06-17T08:11:56+02:00
2026-06-28,1.889,2026-06-28T10:28:19+02:00
2026-06-29,1.889,2026-06-29T07:45:19+02:00
2026-06-30,1.959,2026-06-30T11:59:28+02:00
2026-07-01,1.959,2026-06-30T11:59:28+02:00
2026-07-04,2.079,2026-07-03T12:04:45+02:00
2026-07-13,2.159,2026-07-13T11:50:34+02:00
2026-07-14,2.159,2026-07-13T11:50:34+02:00
2026-07-17,2.259,2026-07-17T11:56:42+02:00
2026-07-18,2.259,2026-07-17T12:02:49+02:00
2026-07-24,2.259,2026-07-24T11:17:25+02:00
