date,price,last_update
2026-04-01,2.109,2026-04-01T12:00:00+02:00
2026-04-02,2.239,2026-04-02T12:09:58+02:00
2026-04-03,2.229,2026-04-03T12:10:00+02:00
2026-04-04,2.229,2026-04-04T12:07:57+02:00
2026-04-05,2.229,2026-04-05T12:07:49+02:00
2026-04-06,2.229,2026-04-06T12:08:00+02:00
2026-04-07,2.239,2026-04-07T12:07:20+02:00
2026-04-08,2.239,2026-04-08T12:07:18+02:00
2026-04-09,2.219,2026-04-09T12:10:14+02:00
2026-04-10,2.169,2026-04-10T12:07:24+02:00
2026-04-11,2.169,2026-04-11T12:09:24+02:00
2026-04-12,2.169,2026-04-12T12:08:26+02:00
2026-04-13,2.189,2026-04-13T12:08:24+02:00
2026-04-14,2.199,2026-04-14T12:07:41+02:00
