date,price,last_update
2026-04-01,2.269,2026-04-01T12:05:33+02:00
2026-04-02,2.239,2026-04-02T12:31:54+02:00
2026-04-03,2.329,2026-04-03T12:06:55+02:00
2026-04-04,2.309,2026-04-04T12:06:56+02:00
2026-04-05,2.329,2026-04-05T12:07:49+02:00
2026-04-06,2.289,2026-04-06T12:34:21+02:00
2026-04-07,2.329,2026-04-07T12:07:20+02:00
2026-04-08,2.309,2026-04-08T12:07:18+02:00
2026-04-09,2.239,2026-04-08T13:13:54+02:00
2026-04-10,2.209,2026-04-10T10:07:16+02:00
2026-04-11,2.149,2026-04-10T18:19:46+02:00
2026-04-12,2.239,2026-04-12T12:07:25+02:00
2026-04-13,2.159,2026-04-12T13:40:58+02:00
2026-04-14,2.159,2026-04-13T12:51:36+02:00
2026-04-15,2.159,2026-04-14T14:35:54+02:00
2026-04-16,2.159,2026-04-15T19:34:29+02:00
2026-04-17,2.159,2026-04-16T13:37:22+02:00
2026-04-18,2.149,2026-04-17T12:51:07+02:00
2026-04-19,2.229,2026-04-19T12:07:56+02:00
2026-04-20,2.229,2026-04-20T12:06:54+02:00
