date,price,last_update
2026-04-03,2.159,2026-04-03T12:00:00+02:00
2026-04-04,2.199,2026-04-04T12:00:46+02:00
2026-04-05,2.199,2026-04-05T12:00:00+02:00
2026-04-06,2.199,2026-04-06T12:00:00+02:00
2026-04-07,2.249,2026-04-07T12:02:15+02:00
2026-04-08,2.199,2026-04-08T12:00:00+02:00
2026-04-09,2.159,2026-04-08T15:24:50+02:00
2026-04-10,2.129,2026-04-10T10:21:30+02:00
2026-04-11,2.109,2026-04-10T14:35:01+02:00
2026-04-15,2.079,2026-04-14T14:45:06+02:00
2026-04-16,2.079,2026-04-15T15:40:59+02:00
2026-04-20,2.079,2026-04-20T11:46:36+02:00
2026-04-21,2.079,2026-04-20T11:46:36+02:00
2026-04-22,2.079,2026-04-22T12:00:29+02:00
2026-04-23,2.079,2026-04-22T12:00:29+02:00
2026-04-25,2.099,2026-04-24T12:01:42+02:00
2026-04-28,2.159,2026-04-27T12:01:45+02:00
2026-04-30,2.159,2026-04-30T11:59:29+02:00
2026-05-01,1.989,2026-05-01T00:03:05+02:00
2026-05-02,2.019,2026-05-02T12:01:14+02:00
2026-05-03,2.019,2026-05-02T12:01:14+02:00
2026-05-07,1.989,2026-05-07T11:03:50+02:00
2026-05-08,1.989,2026-05-07T11:03:50+02:00
2026-05-13,1.929,2026-05-13T09:00:23+02:00
2026-05-14,1.929,2026-05-13T09:00:23+02:00
2026-05-16,1.949,2026-05-15T12:01:44+02:00
2026-05-21,1.969,2026-05-21T12:02:22+02:00
2026-05-22,1.929,2026-05-21T15:31:25+02:00
2026-05-27,1.899,2026-05-26T15:17:29+02:00
2026-05-28,1.899,2026-05-28T08:30:45+02:00
2026-05-29,1.899,2026-05-28T08:30:45+02:00
2026-06-02,1.919,2026-06-01T12:02:37+02:00
2026-06-04,1.949,2026-06-03T12:02:51+02:00
2026-06-06,1.899,2026-06-05T14:42:00+02:00
2026-06-08,1.919,2026-06-08T12:00:44+02:00
2026-06-09,1.889,2026-06-09T04:11:34+02:00
2026-06-10,1.889,2026-06-09T04:11:34+02:00
2026-06-11,1.879,2026-06-11T06:59:17+02:00
2026-06-12,1.879,2026-06-11T06:59:17+02:00
