date,price,last_update
2026-04-01,2.059,2026-04-01T12:00:00+02:00
2026-04-02,2.099,2026-04-02T12:04:53+02:00
2026-04-03,2.149,2026-04-03T12:06:55+02:00
2026-04-04,2.149,2026-04-04T12:06:56+02:00
2026-04-05,2.169,2026-04-05T12:10:51+02:00
2026-04-06,2.169,2026-04-06T12:00:00+02:00
2026-04-07,2.169,2026-04-07T12:00:00+02:00
2026-04-08,2.189,2026-04-08T12:04:13+02:00
2026-04-09,2.159,2026-04-09T12:05:03+02:00
2026-04-10,2.169,2026-04-10T12:05:22+02:00
2026-04-11,2.109,2026-04-10T15:42:16+02:00
2026-04-13,2.189,2026-04-13T12:04:19+02:00
2026-04-14,2.139,2026-04-13T15:00:06+02:00
2026-04-15,2.119,2026-04-15T12:05:34+02:00
2026-04-16,2.159,2026-04-16T12:07:29+02:00
