date,price,last_update
2026-04-01,2.199,2026-04-01T12:05:33+02:00
2026-04-02,2.199,2026-04-02T12:04:53+02:00
2026-04-03,2.219,2026-04-03T12:01:49+02:00
2026-04-04,2.239,2026-04-04T12:01:48+02:00
2026-04-05,2.239,2026-04-05T12:02:44+02:00
2026-04-06,2.239,2026-04-06T12:02:57+02:00
2026-04-07,2.229,2026-04-07T12:03:16+02:00
2026-04-08,2.229,2026-04-08T12:04:13+02:00
2026-04-09,2.189,2026-04-09T12:05:03+02:00
2026-04-10,2.079,2026-04-10T11:42:57+02:00
2026-04-11,2.129,2026-04-11T12:03:19+02:00
2026-04-12,2.169,2026-04-12T12:03:22+02:00
2026-04-13,2.229,2026-04-13T12:03:17+02:00
2026-04-14,2.199,2026-04-14T12:04:37+02:00
2026-04-15,2.179,2026-04-15T12:03:32+02:00
2026-04-16,2.139,2026-04-16T12:04:25+02:00
2026-04-17,2.149,2026-04-17T12:03:02+02:00
2026-04-18,2.129,2026-04-18T12:04:51+02:00
2026-04-19,2.089,2026-04-19T12:02:51+02:00
