date,price,last_update
2026-04-01,2.039,2026-04-01T12:00:00+02:00
2026-04-02,2.069,2026-04-02T11:54:28+02:00
2026-04-03,2.099,2026-04-03T00:21:12+02:00
2026-04-04,2.099,2026-04-04T12:00:00+02:00
2026-04-05,2.169,2026-04-05T00:03:35+02:00
2026-04-06,2.169,2026-04-06T12:00:00+02:00
2026-04-07,2.169,2026-04-07T12:00:00+02:00
2026-04-08,2.139,2026-04-08T12:00:00+02:00
2026-04-09,2.069,2026-04-09T11:33:26+02:00
2026-04-10,2.039,2026-04-10T11:00:18+02:00
2026-04-11,2.039,2026-04-10T11:00:18+02:00
2026-04-14,2.049,2026-04-13T13:46:38+02:00
2026-04-16,2.009,2026-04-16T08:17:49+02:00
2026-04-17,2.009,2026-04-16T16:11:20+02:00
2026-04-18,2.009,2026-04-17T16:58:38+02:00
2026-04-20,1.999,2026-04-20T10:11:54+02:00
2026-04-21,1.999,2026-04-20T10:11:54+02:00
2026-04-22,1.999,2026-04-22T11:12:49+02:00
2026-04-23,1.999,2026-04-22T11:12:49+02:00
2026-04-24,1.999,2026-04-24T08:45:52+02:00
2026-04-25,1.999,2026-04-24T08:45:52+02:00
2026-04-28,2.039,2026-04-28T08:11:25+02:00
2026-04-29,2.039,2026-04-28T08:11:25+02:00
2026-05-01,1.999,2026-05-01T00:33:28+02:00
2026-05-02,1.929,2026-05-02T11:37:41+02:00
2026-05-03,1.929,2026-05-02T11:37:41+02:00
