date,price,last_update
2026-04-01,2.059,2026-04-01T12:00:00+02:00
2026-04-02,2.069,2026-04-02T13:25:35+02:00
2026-04-03,2.109,2026-04-03T12:32:57+02:00
2026-04-04,2.079,2026-04-04T12:00:00+02:00
2026-04-05,2.109,2026-04-05T12:32:07+02:00
2026-04-06,2.089,2026-04-06T12:00:00+02:00
2026-04-07,2.109,2026-04-07T12:18:31+02:00
2026-04-08,2.129,2026-04-08T12:21:35+02:00
2026-04-09,2.109,2026-04-08T18:44:38+02:00
2026-04-10,2.109,2026-04-10T10:05:14+02:00
2026-04-11,2.109,2026-04-11T10:29:52+02:00
2026-04-12,2.109,2026-04-11T20:08:03+02:00
2026-04-13,2.109,2026-04-13T10:21:12+02:00
2026-04-14,2.109,2026-04-13T10:21:12+02:00
2026-04-15,2.109,2026-04-15T10:01:07+02:00
2026-04-16,2.109,2026-04-15T16:04:29+02:00
2026-04-17,2.099,2026-04-17T08:09:43+02:00
2026-04-18,2.099,2026-04-18T09:32:26+02:00
2026-04-19,2.099,2026-04-19T11:09:03+02:00
2026-04-20,2.099,2026-04-19T11:09:03+02:00
2026-04-21,2.099,2026-04-21T09:27:42+02:00
2026-04-22,2.089,2026-04-22T10:20:56+02:00
2026-04-23,2.089,2026-04-22T10:20:56+02:00
2026-04-25,2.089,2026-04-24T12:09:49+02:00
2026-04-26,2.099,2026-04-25T12:19:32+02:00
2026-05-01,1.959,2026-05-01T09:00:06+02:00
2026-05-02,1.959,2026-05-01T09:00:06+02:00
2026-05-03,1.979,2026-05-02T12:20:34+02:00
2026-05-04,1.979,2026-05-03T12:00:26+02:00
2026-05-08,1.979,2026-05-08T07:28:52+02:00
2026-05-09,1.979,2026-05-09T10:08:20+02:00
2026-05-10,1.969,2026-05-09T20:05:46+02:00
2026-05-16,1.969,2026-05-16T09:19:18+02:00
2026-05-17,1.969,2026-05-16T09:19:18+02:00
2026-05-23,1.969,2026-05-23T08:37:51+02:00
2026-05-24,1.969,2026-05-23T08:37:51+02:00
2026-05-27,1.949,2026-05-26T20:02:49+02:00
2026-05-28,1.939,2026-05-28T07:51:04+02:00
2026-05-29,1.939,2026-05-29T08:32:49+02:00
2026-05-30,1.939,2026-05-29T08:32:49+02:00
2026-05-31,1.929,2026-05-31T09:20:49+02:00
2026-06-01,1.929,2026-06-01T08:30:09+02:00
2026-06-02,1.929,2026-06-01T08:30:09+02:00
2026-06-03,1.899,2026-06-03T07:52:50+02:00
2026-06-04,1.899,2026-06-03T07:52:50+02:00
2026-06-06,1.889,2026-06-06T10:13:01+02:00
2026-06-07,1.889,2026-06-06T10:13:01+02:00
2026-06-08,1.889,2026-06-08T11:57:40+02:00
2026-06-09,1.889,2026-06-09T04:11:34+02:00
2026-06-10,1.889,2026-06-10T10:32:46+02:00
2026-06-11,1.889,2026-06-11T06:59:17+02:00
2026-06-12,1.889,2026-06-11T06:59:17+02:00
2026-06-14,1.889,2026-06-14T04:11:45+02:00
2026-06-15,1.889,2026-06-15T07:50:06+02:00
2026-06-16,1.869,2026-06-16T07:25:06+02:00
2026-06-17,1.859,2026-06-16T19:55:06+02:00
2026-06-18,1.849,2026-06-18T09:23:43+02:00
2026-06-19,1.839,2026-06-19T11:25:28+02:00
2026-06-20,1.829,2026-06-19T19:45:44+02:00
2026-06-23,1.829,2026-06-23T07:05:58+02:00
2026-06-24,1.829,2026-06-23T07:05:58+02:00
2026-06-29,1.829,2026-06-29T07:45:19+02:00
2026-06-30,1.859,2026-06-30T10:38:14+02:00
2026-07-01,1.859,2026-06-30T10:38:14+02:00
2026-07-02,1.999,2026-07-01T19:47:24+02:00
2026-07-03,1.999,2026-07-03T07:42:08+02:00
2026-07-04,1.999,2026-07-03T07:42:08+02:00
2026-07-05,1.979,2026-07-04T19:06:47+02:00
2026-07-08,2.019,2026-07-08T08:07:31+02:00
2026-07-09,2.019,2026-07-08T08:07:31+02:00
2026-07-11,2.029,2026-07-10T12:12:37+02:00
2026-07-14,2.039,2026-07-14T12:05:20+02:00
2026-07-15,2.049,2026-07-15T12:03:37+02:00
2026-07-16,2.059,2026-07-16T12:10:08+02:00
2026-07-17,2.069,2026-07-17T12:00:47+02:00
