date,price,last_update
2026-04-01,2.139,2026-04-01T12:28:16+02:00
2026-04-02,2.209,2026-04-02T12:03:51+02:00
2026-04-03,2.249,2026-04-03T12:03:51+02:00
2026-04-04,2.249,2026-04-04T12:03:49+02:00
2026-04-05,2.249,2026-04-05T12:04:45+02:00
2026-04-06,2.249,2026-04-06T12:02:57+02:00
2026-04-07,2.269,2026-04-07T12:03:16+02:00
2026-04-08,2.249,2026-04-08T12:03:10+02:00
2026-04-09,2.229,2026-04-09T12:02:59+02:00
2026-04-10,2.079,2026-04-10T09:58:06+02:00
2026-04-11,2.199,2026-04-11T12:03:19+02:00
2026-04-12,2.089,2026-04-12T09:36:57+02:00
2026-04-13,2.089,2026-04-13T08:26:08+02:00
2026-04-14,2.089,2026-04-14T07:02:44+02:00
2026-04-15,2.089,2026-04-15T08:51:42+02:00
2026-04-16,2.169,2026-04-16T12:03:25+02:00
2026-04-17,2.159,2026-04-17T12:03:02+02:00
2026-04-18,2.169,2026-04-18T12:03:50+02:00
2026-04-19,2.169,2026-04-19T12:03:52+02:00
2026-04-20,2.199,2026-04-20T12:02:50+02:00
2026-04-21,2.169,2026-04-21T12:02:22+02:00
2026-04-22,2.219,2026-04-22T12:02:31+02:00
2026-04-23,2.219,2026-04-23T12:03:38+02:00
