date,price,last_update
2026-04-01,2.159,2026-04-01T12:00:00+02:00
2026-04-02,2.159,2026-04-02T12:00:00+02:00
2026-04-03,2.259,2026-04-03T12:03:51+02:00
2026-04-04,2.289,2026-04-04T12:03:49+02:00
2026-04-05,2.239,2026-04-05T12:00:00+02:00
2026-04-06,2.289,2026-04-06T12:01:56+02:00
2026-04-07,2.289,2026-04-07T12:03:16+02:00
2026-04-08,2.209,2026-04-08T12:00:00+02:00
2026-04-09,2.199,2026-04-09T12:02:59+02:00
2026-04-10,2.139,2026-04-10T12:02:20+02:00
2026-04-11,2.159,2026-04-11T12:03:19+02:00
2026-04-12,2.119,2026-04-11T17:12:09+02:00
2026-04-13,2.159,2026-04-13T12:02:16+02:00
2026-04-14,2.189,2026-04-14T12:02:34+02:00
2026-04-15,2.179,2026-04-15T12:02:30+02:00
2026-04-16,2.169,2026-04-16T12:04:25+02:00
2026-04-17,2.149,2026-04-17T12:00:59+02:00
2026-04-18,2.189,2026-04-18T12:01:49+02:00
2026-04-19,2.179,2026-04-19T12:02:51+02:00
2026-04-20,2.199,2026-04-20T12:03:51+02:00
2026-04-21,2.189,2026-04-21T12:02:22+02:00
