date,price,last_update
2026-04-01,2.199,2026-04-01T14:37:37+02:00
2026-04-02,2.289,2026-04-02T12:04:53+02:00
2026-04-03,2.289,2026-04-03T12:00:00+02:00
2026-04-04,2.289,2026-04-04T12:41:39+02:00
2026-04-05,2.289,2026-04-05T12:00:00+02:00
2026-04-06,2.289,2026-04-06T12:00:00+02:00
2026-04-07,2.369,2026-04-07T12:05:17+02:00
2026-04-08,2.369,2026-04-07T12:05:17+02:00
2026-04-09,2.359,2026-04-09T09:33:21+02:00
2026-04-10,2.339,2026-04-10T09:13:09+02:00
2026-04-11,2.339,2026-04-10T09:13:09+02:00
2026-04-13,2.319,2026-04-13T12:04:19+02:00
2026-04-14,2.249,2026-04-13T16:49:01+02:00
2026-04-15,2.239,2026-04-14T15:47:19+02:00
2026-04-16,2.229,2026-04-16T08:05:35+02:00
2026-04-17,2.189,2026-04-17T08:37:16+02:00
2026-04-18,2.189,2026-04-17T08:37:16+02:00
2026-04-20,2.179,2026-04-20T07:52:17+02:00
2026-04-21,2.109,2026-04-21T07:52:53+02:00
2026-04-22,2.089,2026-04-22T08:00:48+02:00
2026-04-23,2.039,2026-04-23T07:50:33+02:00
2026-04-24,2.059,2026-04-24T12:04:44+02:00
2026-04-25,2.059,2026-04-24T12:04:44+02:00
2026-04-29,2.099,2026-04-28T12:04:00+02:00
2026-05-01,2.149,2026-04-30T16:48:06+02:00
2026-05-04,2.029,2026-05-04T08:37:31+02:00
2026-05-05,1.999,2026-05-04T16:46:25+02:00
2026-05-06,1.989,2026-05-05T15:40:41+02:00
2026-05-07,1.979,2026-05-07T08:39:59+02:00
2026-05-08,1.959,2026-05-08T08:13:33+02:00
