date,price,last_update
2026-04-01,2.329,2026-04-01T12:00:00+02:00
2026-04-02,2.349,2026-04-02T12:22:35+02:00
2026-04-03,2.309,2026-04-03T12:00:00+02:00
2026-04-04,2.329,2026-04-04T12:02:49+02:00
2026-04-05,2.329,2026-04-05T12:00:00+02:00
2026-04-06,2.329,2026-04-06T12:00:00+02:00
2026-04-07,2.539,2026-04-07T12:10:22+02:00
2026-04-08,2.469,2026-04-08T12:00:00+02:00
2026-04-09,2.469,2026-04-08T07:03:48+02:00
2026-04-14,2.269,2026-04-13T16:45:58+02:00
2026-04-17,2.209,2026-04-16T15:53:57+02:00
2026-04-20,2.169,2026-04-19T14:12:49+02:00
2026-04-24,2.139,2026-04-24T12:07:48+02:00
2026-04-25,2.139,2026-04-24T12:07:48+02:00
2026-04-30,2.189,2026-04-30T11:58:28+02:00
2026-05-01,2.189,2026-04-30T11:58:28+02:00
2026-05-04,2.099,2026-05-04T11:38:31+02:00
2026-05-05,2.099,2026-05-04T11:38:31+02:00
2026-05-08,1.969,2026-05-08T08:20:41+02:00
2026-05-09,1.969,2026-05-08T08:20:41+02:00
2026-05-14,1.949,2026-05-14T10:24:44+02:00
2026-05-15,1.949,2026-05-14T10:24:44+02:00
2026-05-20,1.979,2026-05-19T12:04:53+02:00
2026-05-26,1.959,2026-05-26T10:42:58+02:00
2026-05-27,1.839,2026-05-27T10:11:02+02:00
2026-05-28,1.839,2026-05-27T10:11:02+02:00
2026-05-29,1.809,2026-05-29T10:25:34+02:00
2026-05-30,1.809,2026-05-29T10:25:34+02:00
2026-06-06,1.839,2026-06-05T12:01:21+02:00
2026-06-08,1.839,2026-06-08T11:57:40+02:00
2026-06-09,1.909,2026-06-09T12:11:13+02:00
2026-06-10,1.909,2026-06-10T12:02:17+02:00
2026-06-11,1.909,2026-06-11T12:03:08+02:00
2026-06-12,1.839,2026-06-12T08:05:30+02:00
2026-06-13,1.879,2026-06-13T12:02:45+02:00
2026-06-14,1.879,2026-06-14T04:11:45+02:00
2026-06-15,1.879,2026-06-15T07:50:06+02:00
