date,price,last_update
2026-04-03,2.429,2026-04-03T12:11:02+02:00
2026-04-04,2.479,2026-04-04T12:05:55+02:00
2026-04-05,2.479,2026-04-05T12:04:45+02:00
2026-04-06,2.439,2026-04-06T12:03:57+02:00
2026-04-07,2.429,2026-04-07T12:04:17+02:00
2026-04-08,2.419,2026-04-08T12:04:13+02:00
2026-04-09,2.279,2026-04-09T12:05:03+02:00
2026-04-10,2.269,2026-04-10T12:04:21+02:00
2026-04-11,2.279,2026-04-11T12:03:19+02:00
2026-04-12,2.279,2026-04-12T12:02:20+02:00
2026-04-13,2.209,2026-04-12T12:35:50+02:00
2026-04-15,2.229,2026-04-15T12:03:32+02:00
2026-04-16,2.199,2026-04-16T12:03:25+02:00
2026-04-17,2.169,2026-04-17T12:02:00+02:00
2026-04-18,2.079,2026-04-18T09:38:33+02:00
