date,price,last_update
2026-04-01,2.089,2026-04-01T12:00:00+02:00
2026-04-02,2.089,2026-04-02T12:22:35+02:00
2026-04-03,2.099,2026-04-03T12:00:00+02:00
2026-04-04,2.139,2026-04-04T12:15:09+02:00
2026-04-05,2.139,2026-04-05T12:00:00+02:00
2026-04-06,2.169,2026-04-06T12:22:13+02:00
2026-04-07,2.189,2026-04-07T12:58:20+02:00
2026-04-08,2.169,2026-04-08T12:00:00+02:00
2026-04-09,2.129,2026-04-09T11:27:22+02:00
2026-04-10,2.129,2026-04-10T10:07:16+02:00
2026-04-11,2.129,2026-04-11T08:54:24+02:00
2026-04-12,2.129,2026-04-11T15:34:35+02:00
2026-04-13,2.129,2026-04-12T16:24:37+02:00
2026-04-15,2.099,2026-04-15T11:24:47+02:00
2026-04-16,2.099,2026-04-16T09:04:44+02:00
2026-04-17,2.099,2026-04-16T09:04:44+02:00
2026-04-18,2.099,2026-04-18T11:27:22+02:00
2026-04-19,2.099,2026-04-18T14:25:29+02:00
2026-04-20,2.089,2026-04-20T09:09:46+02:00
2026-04-21,2.079,2026-04-21T10:59:18+02:00
2026-04-22,2.079,2026-04-22T11:34:10+02:00
2026-04-23,2.079,2026-04-22T11:34:10+02:00
2026-04-28,2.079,2026-04-28T10:23:31+02:00
2026-04-29,2.079,2026-04-28T10:23:31+02:00
2026-04-30,2.069,2026-04-30T06:43:28+02:00
2026-05-01,1.949,2026-05-01T12:11:44+02:00
2026-05-02,2.019,2026-05-02T12:09:53+02:00
2026-05-03,2.049,2026-05-03T12:07:40+02:00
2026-05-04,2.039,2026-05-04T12:07:59+02:00
2026-05-05,2.039,2026-05-04T12:07:59+02:00
2026-05-06,2.069,2026-05-06T12:10:52+02:00
2026-05-07,2.049,2026-05-07T12:07:09+02:00
