date,price,last_update
2026-04-01,2.219,2026-04-01T11:59:22+02:00
2026-04-02,2.259,2026-04-02T11:59:37+02:00
2026-04-03,2.279,2026-04-03T11:59:47+02:00
2026-04-04,2.309,2026-04-04T11:59:45+02:00
2026-04-05,2.319,2026-04-05T11:59:42+02:00
2026-04-06,2.319,2026-04-06T11:59:55+02:00
2026-04-07,2.279,2026-04-07T12:17:30+02:00
2026-04-08,2.299,2026-04-08T12:00:00+02:00
2026-04-09,2.209,2026-04-09T11:59:55+02:00
2026-04-10,2.199,2026-04-10T12:00:17+02:00
2026-04-11,2.189,2026-04-11T11:59:14+02:00
2026-04-12,2.189,2026-04-12T12:00:17+02:00
2026-04-13,2.229,2026-04-13T11:59:14+02:00
2026-04-14,2.269,2026-04-14T11:59:29+02:00
2026-04-15,2.259,2026-04-15T12:01:29+02:00
2026-04-16,2.249,2026-04-16T12:00:21+02:00
