date,price,last_update
2026-04-01,2.169,2026-04-01T12:19:57+02:00
2026-04-02,2.189,2026-04-02T12:20:27+02:00
2026-04-03,2.239,2026-04-03T12:19:30+02:00
2026-04-04,2.229,2026-04-04T12:20:13+02:00
2026-04-05,2.209,2026-04-05T12:20:57+02:00
2026-04-06,2.209,2026-04-06T12:21:11+02:00
2026-04-07,2.209,2026-04-07T12:14:27+02:00
2026-04-08,2.199,2026-04-08T12:15:28+02:00
2026-04-09,2.099,2026-04-09T12:14:19+02:00
2026-04-10,2.059,2026-04-10T09:40:37+02:00
2026-04-11,2.049,2026-04-11T09:40:06+02:00
2026-04-12,2.049,2026-04-12T09:40:59+02:00
2026-04-13,2.069,2026-04-13T11:10:10+02:00
