date,price,last_update
2026-04-01,2.069,2026-04-01T12:07:36+02:00
2026-04-02,2.069,2026-04-02T12:01:46+02:00
2026-04-03,2.069,2026-04-03T12:00:00+02:00
2026-04-04,2.069,2026-04-04T12:03:49+02:00
2026-04-05,2.069,2026-04-05T12:00:00+02:00
2026-04-06,2.069,2026-04-06T12:00:00+02:00
2026-04-07,2.129,2026-04-07T12:05:17+02:00
2026-04-08,2.129,2026-04-07T12:05:17+02:00
2026-04-09,2.089,2026-04-09T09:02:41+02:00
2026-04-10,2.059,2026-04-10T07:36:20+02:00
2026-04-11,2.059,2026-04-10T07:36:20+02:00
2026-04-13,2.059,2026-04-12T12:02:20+02:00
2026-04-14,2.059,2026-04-14T08:00:49+02:00
2026-04-15,2.059,2026-04-14T08:00:49+02:00
2026-04-16,2.059,2026-04-16T06:15:37+02:00
2026-04-17,2.059,2026-04-17T10:43:28+02:00
2026-04-18,2.059,2026-04-17T10:43:28+02:00
2026-04-19,2.059,2026-04-19T09:06:05+02:00
2026-04-20,2.059,2026-04-19T09:06:05+02:00
2026-04-22,2.059,2026-04-22T06:13:57+02:00
2026-04-23,2.059,2026-04-22T06:13:57+02:00
2026-04-28,2.059,2026-04-27T12:04:48+02:00
2026-05-01,1.929,2026-05-01T10:44:25+02:00
2026-05-02,1.979,2026-05-02T11:57:52+02:00
2026-05-03,1.979,2026-05-02T11:57:52+02:00
2026-05-09,1.969,2026-05-09T10:53:52+02:00
2026-05-10,1.969,2026-05-09T10:53:52+02:00
2026-05-15,1.959,2026-05-15T07:37:24+02:00
2026-05-16,1.959,2026-05-15T07:37:24+02:00
2026-05-18,1.939,2026-05-18T09:23:55+02:00
2026-05-19,1.939,2026-05-18T09:23:55+02:00
2026-05-24,1.939,2026-05-23T19:33:48+02:00
2026-05-27,1.929,2026-05-27T06:40:39+02:00
2026-05-28,1.899,2026-05-28T08:38:51+02:00
2026-05-29,1.899,2026-05-28T08:38:51+02:00
2026-06-02,1.879,2026-06-02T08:48:22+02:00
2026-06-03,1.879,2026-06-02T08:48:22+02:00
2026-06-08,1.849,2026-06-08T11:57:40+02:00
2026-06-09,1.849,2026-06-09T04:11:34+02:00
2026-06-10,1.849,2026-06-09T04:11:34+02:00
2026-06-11,1.829,2026-06-11T06:59:17+02:00
2026-06-12,1.829,2026-06-11T06:59:17+02:00
