date,price,last_update
2026-04-01,2.349,2026-04-01T12:26:12+02:00
2026-04-02,2.449,2026-04-02T12:06:54+02:00
2026-04-03,2.449,2026-04-03T12:06:55+02:00
2026-04-04,2.449,2026-04-04T12:06:56+02:00
2026-04-05,2.449,2026-04-05T12:10:51+02:00
2026-04-06,2.449,2026-04-06T12:06:59+02:00
2026-04-07,2.449,2026-04-07T12:07:20+02:00
2026-04-08,2.489,2026-04-08T12:11:24+02:00
2026-04-09,2.489,2026-04-09T12:11:16+02:00
2026-04-10,2.409,2026-04-10T12:07:24+02:00
2026-04-11,2.409,2026-04-11T12:10:25+02:00
2026-04-12,2.409,2026-04-12T12:07:25+02:00
2026-04-13,2.409,2026-04-13T12:10:26+02:00
2026-04-14,2.259,2026-04-14T09:00:55+02:00
2026-04-15,2.409,2026-04-15T12:07:37+02:00
2026-04-16,2.409,2026-04-16T12:10:32+02:00
2026-04-17,2.409,2026-04-17T12:11:15+02:00
