date,price,last_update
2026-04-01,2.309,2026-04-01T12:07:36+02:00
2026-04-02,2.369,2026-04-02T12:00:41+02:00
2026-04-03,2.439,2026-04-03T12:13:07+02:00
2026-04-04,2.469,2026-04-04T12:13:06+02:00
2026-04-05,2.399,2026-04-05T12:12:52+02:00
2026-04-06,2.459,2026-04-06T12:12:05+02:00
2026-04-07,2.469,2026-04-07T12:08:20+02:00
2026-04-08,2.469,2026-04-08T12:12:25+02:00
2026-04-09,2.379,2026-04-09T12:12:16+02:00
2026-04-10,2.379,2026-04-10T12:12:29+02:00
2026-04-11,2.339,2026-04-11T12:07:23+02:00
2026-04-12,2.339,2026-04-12T12:12:29+02:00
2026-04-13,2.239,2026-04-13T08:15:56+02:00
2026-04-14,2.239,2026-04-14T09:27:25+02:00
2026-04-15,2.279,2026-04-15T12:13:43+02:00
2026-04-16,2.149,2026-04-15T16:58:36+02:00
2026-04-17,2.249,2026-04-17T12:07:10+02:00
2026-04-18,2.199,2026-04-18T12:11:56+02:00
2026-04-19,2.099,2026-04-18T17:03:30+02:00
2026-04-20,2.189,2026-04-20T12:12:59+02:00
2026-04-21,2.159,2026-04-21T12:12:30+02:00
2026-04-22,2.119,2026-04-22T12:12:38+02:00
2026-04-23,2.179,2026-04-23T12:12:44+02:00
2026-04-24,2.169,2026-04-24T12:12:52+02:00
2026-04-25,2.189,2026-04-25T12:11:25+02:00
2026-04-26,2.189,2026-04-26T12:12:06+02:00
