date,price,last_update
2026-04-01,2.409,2026-04-01T12:16:50+02:00
2026-04-02,2.299,2026-04-02T12:03:51+02:00
2026-04-03,2.299,2026-04-03T12:03:51+02:00
2026-04-04,2.379,2026-04-04T12:03:49+02:00
2026-04-05,2.399,2026-04-05T12:02:44+02:00
2026-04-06,2.399,2026-04-06T12:03:57+02:00
2026-04-07,2.399,2026-04-07T12:03:16+02:00
2026-04-08,2.229,2026-04-08T12:04:13+02:00
2026-04-09,2.179,2026-04-09T12:01:58+02:00
2026-04-10,2.169,2026-04-10T12:04:21+02:00
2026-04-11,2.149,2026-04-11T12:03:19+02:00
2026-04-12,2.149,2026-04-12T12:04:23+02:00
2026-04-13,2.169,2026-04-13T12:04:19+02:00
2026-04-14,2.209,2026-04-14T12:05:39+02:00
2026-04-15,2.169,2026-04-15T12:03:32+02:00
2026-04-16,2.119,2026-04-16T12:07:29+02:00
2026-04-17,2.129,2026-04-17T12:04:05+02:00
2026-04-18,2.139,2026-04-18T12:04:51+02:00
2026-04-19,2.139,2026-04-19T12:03:52+02:00
2026-04-20,2.129,2026-04-20T12:03:51+02:00
2026-04-21,2.109,2026-04-21T12:04:24+02:00
2026-04-22,2.119,2026-04-22T12:02:31+02:00
2026-04-23,2.169,2026-04-23T12:03:38+02:00
2026-04-24,2.179,2026-04-24T12:03:44+02:00
2026-04-25,2.199,2026-04-25T12:03:19+02:00
