date,price,last_update
2026-04-01,2.149,2026-04-01T12:15:46+02:00
2026-04-02,2.149,2026-04-02T12:11:59+02:00
2026-04-03,2.149,2026-04-03T12:11:02+02:00
2026-04-04,2.149,2026-04-04T12:06:56+02:00
2026-04-05,2.149,2026-04-05T12:10:51+02:00
2026-04-06,2.149,2026-04-06T12:11:04+02:00
2026-04-07,2.149,2026-04-07T12:11:23+02:00
2026-04-08,2.209,2026-04-08T12:11:24+02:00
2026-04-09,2.209,2026-04-09T12:11:16+02:00
2026-04-10,2.129,2026-04-10T12:11:28+02:00
2026-04-11,2.129,2026-04-11T12:10:25+02:00
2026-04-12,2.129,2026-04-12T12:11:29+02:00
2026-04-13,2.129,2026-04-13T12:10:26+02:00
2026-04-14,2.129,2026-04-14T12:10:45+02:00
2026-04-15,2.129,2026-04-15T12:10:39+02:00
2026-04-16,2.129,2026-04-16T12:10:32+02:00
2026-04-17,2.129,2026-04-17T12:11:15+02:00
2026-04-18,2.129,2026-04-18T12:10:56+02:00
2026-04-19,2.129,2026-04-19T12:10:57+02:00
2026-04-20,2.159,2026-04-20T12:10:58+02:00
2026-04-21,2.159,2026-04-21T12:11:29+02:00
2026-04-22,2.159,2026-04-22T12:11:38+02:00
2026-04-23,2.179,2026-04-23T12:10:43+02:00
2026-04-24,1.979,2026-04-24T11:16:05+02:00
2026-04-25,2.009,2026-04-24T19:31:37+02:00
