date,price,last_update
2026-04-01,2.209,2026-04-01T11:56:19+02:00
2026-04-02,2.189,2026-04-02T11:57:34+02:00
2026-04-03,2.229,2026-04-03T11:57:46+02:00
2026-04-04,2.239,2026-04-04T11:57:43+02:00
2026-04-05,2.249,2026-04-05T11:58:41+02:00
2026-04-06,2.239,2026-04-06T11:57:53+02:00
2026-04-07,2.229,2026-04-07T11:58:10+02:00
2026-04-08,2.219,2026-04-08T12:03:10+02:00
2026-04-09,2.129,2026-04-09T12:01:58+02:00
2026-04-10,2.149,2026-04-10T12:02:20+02:00
2026-04-11,2.159,2026-04-11T12:02:18+02:00
2026-04-12,2.149,2026-04-12T12:02:20+02:00
2026-04-13,2.169,2026-04-13T12:02:16+02:00
2026-04-14,2.169,2026-04-14T12:03:35+02:00
2026-04-15,2.149,2026-04-15T12:02:30+02:00
2026-04-16,2.159,2026-04-16T12:03:25+02:00
