date,price,last_update
2026-04-01,2.239,2026-04-01T11:59:22+02:00
2026-04-02,2.189,2026-04-02T11:57:34+02:00
2026-04-03,2.289,2026-04-03T12:02:50+02:00
2026-04-04,2.209,2026-04-04T12:00:46+02:00
2026-04-05,2.259,2026-04-05T12:03:45+02:00
2026-04-06,2.279,2026-04-06T12:03:57+02:00
2026-04-07,2.279,2026-04-07T12:04:17+02:00
2026-04-08,2.219,2026-04-08T12:02:08+02:00
2026-04-09,2.169,2026-04-09T12:00:56+02:00
2026-04-10,2.219,2026-04-10T12:02:20+02:00
2026-04-11,2.099,2026-04-11T12:04:20+02:00
2026-04-12,2.129,2026-04-12T12:02:20+02:00
2026-04-13,2.119,2026-04-13T12:03:17+02:00
2026-04-14,2.149,2026-04-14T12:01:33+02:00
2026-04-15,2.099,2026-04-15T12:03:32+02:00
2026-04-16,2.089,2026-04-16T12:01:22+02:00
2026-04-17,2.139,2026-04-17T12:00:59+02:00
2026-04-18,2.129,2026-04-18T12:03:50+02:00
