date,price,last_update
2026-04-01,2.309,2026-04-01T12:23:06+02:00
2026-04-02,2.309,2026-04-02T11:59:37+02:00
2026-04-03,2.309,2026-04-03T12:00:48+02:00
2026-04-04,2.309,2026-04-04T11:59:45+02:00
2026-04-05,2.309,2026-04-05T12:00:43+02:00
2026-04-06,2.299,2026-04-06T11:58:54+02:00
2026-04-07,2.299,2026-04-07T12:00:11+02:00
2026-04-08,2.259,2026-04-08T12:00:00+02:00
2026-04-09,2.178,2026-04-09T11:04:56+02:00
2026-04-10,2.229,2026-04-10T12:01:19+02:00
2026-04-11,2.219,2026-04-11T11:59:14+02:00
2026-04-12,2.219,2026-04-12T12:00:17+02:00
2026-04-13,2.249,2026-04-13T12:01:15+02:00
2026-04-14,2.209,2026-04-14T12:00:30+02:00
2026-04-15,2.219,2026-04-15T11:59:27+02:00
2026-04-16,2.219,2026-04-16T12:05:26+02:00
