date,price,last_update
2026-06-18,1.789,2026-06-18T11:51:16+02:00
2026-06-19,1.779,2026-06-19T11:58:57+02:00
2026-06-20,1.779,2026-06-20T11:52:43+02:00
2026-06-21,1.799,2026-06-21T11:54:57+02:00
2026-06-22,1.799,2026-06-22T12:03:17+02:00
2026-06-23,1.799,2026-06-23T11:59:46+02:00
2026-06-24,1.789,2026-06-24T11:54:30+02:00
2026-06-25,1.789,2026-06-25T11:57:08+02:00
2026-06-26,1.799,2026-06-26T12:02:52+02:00
2026-06-27,1.799,2026-06-27T11:53:22+02:00
2026-06-28,1.799,2026-06-28T11:53:29+02:00
2026-06-29,1.809,2026-06-29T12:02:50+02:00
2026-06-30,1.989,2026-06-30T11:58:27+02:00
2026-07-01,2.249,2026-07-01T12:01:05+02:00
2026-07-02,2.169,2026-07-02T12:02:26+02:00
2026-07-03,2.179,2026-07-03T11:55:37+02:00
2026-07-04,2.159,2026-07-04T11:51:50+02:00
2026-07-05,2.169,2026-07-05T11:53:21+02:00
2026-07-06,2.169,2026-07-06T11:58:55+02:00
2026-07-07,2.159,2026-07-07T11:58:41+02:00
2026-07-08,2.179,2026-07-08T12:00:58+02:00
2026-07-09,2.219,2026-07-09T12:01:34+02:00
2026-07-10,2.259,2026-07-10T12:09:35+02:00
2026-07-11,2.259,2026-07-11T12:08:21+02:00
2026-07-12,2.259,2026-07-12T12:10:25+02:00
2026-07-13,2.269,2026-07-13T12:08:50+02:00
2026-07-14,2.299,2026-07-14T11:55:06+02:00
2026-07-15,2.389,2026-07-15T11:56:29+02:00
2026-07-16,2.429,2026-07-16T11:54:55+02:00
2026-07-17,2.459,2026-07-17T12:00:47+02:00
2026-07-18,2.459,2026-07-18T11:54:44+02:00
2026-07-19,2.459,2026-07-19T11:57:36+02:00
2026-07-20,2.479,2026-07-20T11:55:29+02:00
2026-07-21,2.439,2026-07-21T11:53:48+02:00
2026-07-22,2.409,2026-07-22T11:49:57+02:00
2026-07-23,2.409,2026-07-23T12:07:28+02:00
2026-07-24,2.449,2026-07-24T11:58:02+02:00
2026-07-25,2.429,2026-07-25T12:00:52+02:00
2026-07-26,2.429,2026-07-26T12:00:34+02:00
2026-07-27,2.419,2026-07-27T12:03:54+02:00
2026-07-28,2.409,2026-07-28T12:02:11+02:00
2026-07-29,2.119,2026-07-29T11:55:55+02:00
2026-07-30,2.429,2026-07-30T12:04:37+02:00
2026-07-31,2.449,2026-07-31T12:01:28+02:00
2026-08-01,2.139,2026-07-31T19:54:47+02:00
