date,price,last_update
2026-04-01,2.179,2026-04-01T12:02:27+02:00
2026-04-02,2.209,2026-04-02T11:59:37+02:00
2026-04-03,2.269,2026-04-03T11:59:47+02:00
2026-04-04,2.209,2026-04-04T12:00:00+02:00
2026-04-05,2.209,2026-04-05T12:00:00+02:00
2026-04-06,2.209,2026-04-06T12:00:00+02:00
2026-04-07,2.209,2026-04-07T12:00:00+02:00
2026-04-08,2.299,2026-04-08T12:00:00+02:00
2026-04-09,2.079,2026-04-09T08:37:16+02:00
2026-04-10,2.169,2026-04-10T12:00:17+02:00
2026-04-11,2.169,2026-04-10T12:00:17+02:00
2026-04-13,2.169,2026-04-13T11:57:11+02:00
2026-04-14,2.209,2026-04-14T12:00:30+02:00
2026-04-15,2.159,2026-04-15T11:59:27+02:00
2026-04-16,2.149,2026-04-16T12:00:21+02:00
2026-04-17,2.149,2026-04-17T11:58:57+02:00
