date,price,last_update
2026-04-01,2.159,2026-04-01T12:07:36+02:00
2026-04-02,2.269,2026-04-02T12:06:54+02:00
2026-04-03,2.199,2026-04-03T12:06:55+02:00
2026-04-04,2.209,2026-04-04T12:09:58+02:00
2026-04-05,2.229,2026-04-05T12:07:49+02:00
2026-04-06,2.219,2026-04-06T12:06:59+02:00
2026-04-07,2.209,2026-04-07T12:07:20+02:00
2026-04-08,2.179,2026-04-08T12:00:00+02:00
2026-04-09,2.139,2026-04-09T12:07:09+02:00
2026-04-10,2.139,2026-04-10T12:07:24+02:00
2026-04-11,2.129,2026-04-11T12:07:23+02:00
2026-04-12,2.129,2026-04-12T12:10:28+02:00
2026-04-13,2.169,2026-04-13T12:07:23+02:00
2026-04-14,2.169,2026-04-14T12:07:41+02:00
2026-04-15,2.129,2026-04-15T12:09:38+02:00
2026-04-16,2.129,2026-04-16T12:10:32+02:00
2026-04-17,2.129,2026-04-17T12:10:14+02:00
2026-04-18,2.089,2026-04-18T12:07:53+02:00
2026-04-19,2.089,2026-04-19T12:07:56+02:00
2026-04-20,2.149,2026-04-20T12:06:54+02:00
2026-04-21,2.009,2026-04-21T08:58:15+02:00
2026-04-22,2.119,2026-04-22T12:05:33+02:00
2026-04-23,2.169,2026-04-23T12:07:41+02:00
2026-04-24,2.229,2026-04-24T12:04:44+02:00
2026-04-25,2.199,2026-04-25T12:04:20+02:00
2026-04-26,2.209,2026-04-26T12:06:58+02:00
2026-04-27,2.239,2026-04-27T12:13:56+02:00
2026-04-28,2.259,2026-04-28T12:05:02+02:00
2026-04-29,2.349,2026-04-29T12:07:35+02:00
2026-04-30,2.319,2026-04-30T12:07:37+02:00
2026-05-01,2.089,2026-05-01T12:08:37+02:00
