date,price,last_update
2026-04-01,2.249,2026-04-01T12:02:27+02:00
2026-04-02,2.249,2026-04-02T11:58:35+02:00
2026-04-03,2.289,2026-04-03T12:03:51+02:00
2026-04-04,2.309,2026-04-04T12:03:49+02:00
2026-04-05,2.299,2026-04-05T12:04:45+02:00
2026-04-06,2.329,2026-04-06T12:04:58+02:00
2026-04-07,2.309,2026-04-07T12:05:17+02:00
2026-04-08,2.299,2026-04-08T12:04:13+02:00
2026-04-09,2.229,2026-04-09T12:05:03+02:00
2026-04-10,2.219,2026-04-10T12:05:22+02:00
2026-04-11,2.219,2026-04-11T12:04:20+02:00
2026-04-12,2.219,2026-04-12T12:03:22+02:00
2026-04-13,2.219,2026-04-13T12:04:19+02:00
