date,price,last_update
2026-04-01,2.369,2026-04-01T13:07:26+02:00
2026-04-02,2.339,2026-04-02T12:17:15+02:00
2026-04-03,2.339,2026-04-03T12:04:54+02:00
2026-04-04,2.399,2026-04-04T12:06:56+02:00
2026-04-05,2.399,2026-04-05T12:05:46+02:00
2026-04-06,2.409,2026-04-06T12:06:59+02:00
2026-04-07,2.409,2026-04-07T12:05:17+02:00
2026-04-08,2.409,2026-04-08T12:04:13+02:00
2026-04-09,2.369,2026-04-09T12:05:03+02:00
2026-04-10,2.369,2026-04-10T12:05:22+02:00
2026-04-11,2.369,2026-04-11T12:05:21+02:00
2026-04-12,2.369,2026-04-12T12:05:23+02:00
2026-04-13,2.369,2026-04-13T12:07:23+02:00
2026-04-14,2.369,2026-04-14T12:05:39+02:00
2026-04-15,2.309,2026-04-15T12:05:34+02:00
2026-04-16,2.309,2026-04-16T12:05:26+02:00
2026-04-17,2.309,2026-04-17T12:07:10+02:00
2026-04-18,2.309,2026-04-18T12:04:51+02:00
