date,price,last_update
2026-04-01,2.439,2026-04-01T12:09:37+02:00
2026-04-02,2.439,2026-04-02T12:04:53+02:00
2026-04-03,2.499,2026-04-03T12:11:02+02:00
2026-04-04,2.529,2026-04-04T12:11:04+02:00
2026-04-05,2.629,2026-04-05T12:10:51+02:00
2026-04-06,2.629,2026-04-06T12:11:04+02:00
2026-04-07,2.519,2026-04-07T12:10:22+02:00
2026-04-08,2.499,2026-04-08T12:10:21+02:00
2026-04-09,2.429,2026-04-09T12:10:14+02:00
2026-04-10,2.349,2026-04-10T12:10:27+02:00
2026-04-11,2.239,2026-04-11T11:30:49+02:00
2026-04-12,2.339,2026-04-12T12:10:28+02:00
2026-04-13,2.339,2026-04-13T12:10:26+02:00
2026-04-14,2.339,2026-04-14T12:10:45+02:00
2026-04-15,2.329,2026-04-15T12:10:39+02:00
2026-04-16,2.279,2026-04-16T12:10:32+02:00
2026-04-17,2.249,2026-04-17T12:10:14+02:00
2026-04-18,2.219,2026-04-18T12:09:55+02:00
2026-04-19,2.209,2026-04-19T12:10:57+02:00
2026-04-20,2.209,2026-04-20T12:10:58+02:00
2026-04-21,2.209,2026-04-21T12:10:28+02:00
2026-04-22,2.169,2026-04-22T12:09:36+02:00
2026-04-23,2.189,2026-04-23T12:10:43+02:00
