date,price,last_update
2026-08-07,2.409,2026-08-07T12:00:28+02:00
2026-08-08,2.399,2026-08-08T12:00:45+02:00
2026-08-09,2.399,2026-08-09T12:01:11+02:00
2026-08-10,2.419,2026-08-10T12:02:09+02:00
2026-08-11,2.469,2026-08-11T12:02:01+02:00
2026-08-12,2.449,2026-08-12T12:01:47+02:00
2026-08-13,2.439,2026-08-13T12:01:23+02:00
2026-08-14,2.449,2026-08-14T12:01:28+02:00
2026-08-15,2.449,2026-08-15T12:01:23+02:00
2026-08-16,2.449,2026-08-16T12:00:24+02:00
2026-08-17,2.459,2026-08-17T12:01:08+02:00
2026-08-20,2.479,2026-08-20T12:01:28+02:00
2026-08-21,2.479,2026-08-21T12:00:56+02:00
2026-08-22,2.489,2026-08-22T12:01:45+02:00
2026-08-23,2.489,2026-08-23T12:01:58+02:00
2026-08-24,2.469,2026-08-24T12:01:22+02:00
2026-08-25,2.449,2026-08-25T12:00:31+02:00
2026-08-26,2.399,2026-08-26T12:00:52+02:00
2026-08-27,2.439,2026-08-27T12:01:18+02:00
2026-08-28,2.449,2026-08-28T12:01:28+02:00
2026-08-29,2.429,2026-08-29T12:00:54+02:00
2026-08-30,2.429,2026-08-30T12:00:27+02:00
