date,price,last_update
2026-04-02,2.379,2026-04-02T12:00:00+02:00
2026-04-03,2.329,2026-04-03T12:00:00+02:00
2026-04-04,2.329,2026-04-04T12:00:00+02:00
2026-04-05,2.329,2026-04-05T12:00:00+02:00
2026-04-06,2.329,2026-04-06T12:00:00+02:00
2026-04-08,2.409,2026-04-08T12:00:00+02:00
2026-04-09,2.399,2026-04-08T14:07:20+02:00
2026-04-10,2.329,2026-04-10T11:57:15+02:00
2026-04-11,2.329,2026-04-10T11:57:15+02:00
2026-04-13,2.279,2026-04-13T08:37:19+02:00
2026-04-14,2.279,2026-04-13T13:20:08+02:00
2026-04-16,2.249,2026-04-16T11:59:20+02:00
2026-04-17,2.159,2026-04-17T08:11:46+02:00
