date,price,last_update
2026-04-01,2.329,2026-04-01T12:24:08+02:00
2026-04-02,2.349,2026-04-02T12:00:41+02:00
2026-04-03,2.429,2026-04-03T12:13:07+02:00
2026-04-04,2.479,2026-04-04T12:13:06+02:00
2026-04-05,2.489,2026-04-05T12:12:52+02:00
2026-04-06,2.479,2026-04-06T12:12:05+02:00
2026-04-07,2.479,2026-04-07T12:12:25+02:00
2026-04-08,2.509,2026-04-08T12:12:25+02:00
2026-04-09,2.399,2026-04-09T12:12:16+02:00
2026-04-10,2.329,2026-04-10T12:12:29+02:00
2026-04-11,2.339,2026-04-11T12:13:29+02:00
2026-04-12,2.339,2026-04-12T12:12:29+02:00
2026-04-13,2.339,2026-04-13T12:13:30+02:00
2026-04-14,2.379,2026-04-14T12:13:50+02:00
2026-04-15,2.339,2026-04-15T12:13:43+02:00
2026-04-16,2.299,2026-04-16T12:13:36+02:00
2026-04-17,2.149,2026-04-17T10:57:44+02:00
2026-04-18,2.229,2026-04-18T12:11:56+02:00
2026-04-19,2.219,2026-04-19T12:14:01+02:00
2026-04-20,2.199,2026-04-20T12:12:59+02:00
2026-04-21,2.139,2026-04-21T08:16:32+02:00
2026-04-22,2.099,2026-04-22T09:15:59+02:00
2026-04-23,2.159,2026-04-23T12:12:44+02:00
2026-04-24,2.209,2026-04-24T12:12:52+02:00
2026-04-25,2.249,2026-04-25T12:11:25+02:00
2026-04-26,2.239,2026-04-26T12:06:58+02:00
2026-04-27,2.229,2026-04-27T12:12:55+02:00
2026-04-28,2.229,2026-04-28T12:12:11+02:00
2026-04-29,2.229,2026-04-29T12:13:40+02:00
2026-04-30,2.209,2026-04-30T12:07:37+02:00
2026-05-01,2.109,2026-05-01T12:07:29+02:00
2026-05-02,2.109,2026-05-02T12:13:16+02:00
2026-05-03,2.109,2026-05-03T12:07:40+02:00
2026-05-04,2.129,2026-05-04T12:13:14+02:00
