date,price,last_update
2026-04-01,2.099,2026-04-01T12:00:00+02:00
2026-04-02,2.099,2026-04-02T12:00:00+02:00
2026-04-03,2.099,2026-04-03T12:00:00+02:00
2026-04-06,2.099,2026-04-06T12:00:00+02:00
2026-04-20,2.119,2026-04-20T12:12:59+02:00
2026-04-21,2.109,2026-04-21T12:10:28+02:00
2026-04-22,2.119,2026-04-22T12:11:38+02:00
2026-04-23,2.189,2026-04-23T12:14:45+02:00
2026-04-24,2.029,2026-04-23T16:03:32+02:00
2026-04-25,2.049,2026-04-25T09:33:13+02:00
2026-04-26,2.059,2026-04-26T09:25:45+02:00
2026-04-27,2.209,2026-04-27T12:07:50+02:00
2026-04-28,2.209,2026-04-28T12:08:05+02:00
2026-04-29,2.219,2026-04-29T12:08:36+02:00
2026-04-30,2.199,2026-04-30T12:09:38+02:00
2026-05-01,2.119,2026-05-01T12:09:38+02:00
2026-05-02,2.029,2026-05-01T18:31:10+02:00
2026-05-04,1.949,2026-05-04T10:40:53+02:00
2026-05-05,2.109,2026-05-05T12:12:00+02:00
2026-05-06,2.109,2026-05-06T12:10:52+02:00
2026-05-07,2.069,2026-05-06T12:42:21+02:00
2026-05-13,2.149,2026-05-13T12:08:38+02:00
2026-05-14,2.169,2026-05-14T12:07:09+02:00
2026-05-15,2.149,2026-05-15T12:07:48+02:00
2026-05-16,2.149,2026-05-16T12:07:45+02:00
2026-05-17,2.149,2026-05-17T12:09:18+02:00
2026-05-18,2.149,2026-05-18T12:07:25+02:00
2026-05-19,2.149,2026-05-19T12:08:55+02:00
2026-05-20,2.149,2026-05-20T12:08:16+02:00
2026-05-21,2.149,2026-05-21T12:08:27+02:00
2026-05-22,2.119,2026-05-22T12:07:20+02:00
2026-05-23,2.139,2026-05-23T12:09:45+02:00
2026-05-24,2.139,2026-05-24T12:08:43+02:00
2026-05-25,2.139,2026-05-25T12:07:35+02:00
2026-05-26,2.129,2026-05-26T12:08:33+02:00
2026-05-27,1.999,2026-05-26T19:04:59+02:00
2026-05-28,2.089,2026-05-28T12:09:07+02:00
2026-05-29,2.069,2026-05-29T12:09:10+02:00
2026-05-30,2.099,2026-05-30T12:09:26+02:00
2026-05-31,2.099,2026-05-31T12:07:16+02:00
2026-06-01,2.089,2026-06-01T12:07:49+02:00
2026-06-02,2.089,2026-06-02T12:11:50+02:00
2026-06-03,2.079,2026-06-03T12:07:53+02:00
2026-06-04,2.079,2026-06-04T12:07:23+02:00
2026-06-05,2.059,2026-06-05T12:08:26+02:00
2026-06-06,2.059,2026-06-06T12:07:54+02:00
